;Method;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;CLA80C
;Analyte;Al2O3;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;LOI;Sum;Ba;Be;Cs;Ga;Hf;Nb;Rb;Sn;Sr;Ta;Th;U;W;Y;Zr;Ag;Au;As;Bi;Cd;Co;Cu;Hg;Mo;Ni;Pb;Sb;Se;Zn;Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb;FeO
;Unit;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MA-R-126C - (IBX-419);REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,14
MA-R-117A - (IBX-400);REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,64
MA-R-132C - (IBX-431);REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,17;<0.1;<1;<0.02;0,03;1,3;2,7;0,01;0,47;2,7;1,4;0,08;<1;3;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
MA-R-132C - (IBX-431);REP;0,39;0,48;<0.01;0,65;<0.01;0,05;0,02;0,1;0,28;>90;0,01;0,19;100,39;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
MA-R-132B - (IBX-430);REP;5,31;38,07;<0.01;2,01;0,56;0,35;0,03;0,15;>25;15,06;0,27;2,96;95,91;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
MA-R-132C - (IBX-431);REP;--;--;--;--;--;--;--;--;--;--;--;--;--;9;0,4;<0.05;0,4;<0.05;0,3;1,6;<0.3;12,4;0,17;0,5;0,31;<0.1;0,82;3,5;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
MA-R-132B - (IBX-430);REP;--;--;--;--;--;--;--;--;--;--;--;--;--;184;3,7;1,44;7,2;1,9;6,24;26,4;<0.3;508;0,53;6,3;10,28;<0.1;65,65;77,1;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
MA-R-132C - (IBX-431);REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3,3;<0.05;<0.05;<0.05;0,24;<0.05;1,2;0,24;0,9;0,19;0,2;<0.05;<0.05;<0.1;--
MA-R-132B - (IBX-430);REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;31,7;4,9;4,6;0,58;3,1;1,24;16;0,78;14,7;3,76;3,3;0,63;0,77;4,6;--
MA-R-132B - (IBX-430);REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,16;<0.1;8;0,03;0,21;5,4;17;0,1;0,33;17,1;7,6;0,59;<1;52;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
MA-R-124 - (IBX-415);DUP;12,31;0,15;<0.01;5,3;5,47;0,8;0,07;1,08;0,05;73,97;0,54;1,28;101,03;1109;2,3;8,58;16,5;4,26;8,96;178;1,8;80,9;0,71;6,4;1,09;<0.1;36,27;163;0,04;<0.1;<1;0,06;0,01;10,9;50,7;<0.01;0,24;21,5;4,5;0,09;<1;26;69,2;5,86;3,63;0,86;6,57;1,24;37,5;1,04;31,8;8,1;6,2;0,95;0,55;3,6;0,57
Reference Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SG_051;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2,06
SG_099;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;14,13
STD_061;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;>10;<0.1;511;5,57;5,26;29,4;3511;1,98;157,91;43;967;72,77;3;1037;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
STD_062;STD;1,13;41,77;0,03;0,53;0,19;0,67;<0.01;1,97;>25;5,32;0,07;N.A.;N.A.;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
TILL-3;STD;13,25;2,56;0,02;4,01;2,38;1,86;0,08;2,94;0,11;72,6;0,55;N.A.;N.A.;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
STD_062;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;106;1;0,38;1,3;0,81;1,06;9,4;0,5;2534;0,45;3,3;66,44;2,1;50,49;18,6;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
TILL-3;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;516;1,2;1,54;15;4,72;7,1;62,5;<0.3;336;0,42;4,1;1,8;1,4;14,72;196;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
STD_062;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;17,5;3,54;2,57;0,62;3,38;0,9;12,6;0,52;10,7;2,4;2,5;0,55;0,38;2,2;--
TILL-3;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;32,4;2,36;1,14;0,64;2,84;0,43;16,4;0,22;15,2;3,78;2,9;0,41;0,24;1,3;--
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
