;Method;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;CLA80C
;Analyte;Al2O3;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;LOI;Sum;Ba;Be;Cs;Ga;Hf;Nb;Rb;Sn;Sr;Ta;Th;U;W;Y;Zr;Ag;Au;As;Bi;Cd;Co;Cu;Hg;Mo;Ni;Pb;Sb;Se;Zn;Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb;FeO
;Unit;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%
MA-R-117D - (IBX-402);ROCHA;1,82;35,31;<0.01;1,01;0,43;6,22;0,03;0,17;17,3;15,39;0,09;17,38;95,16;118;1;0,64;3,4;0,98;3,37;16,8;<0.3;559;0,11;2,5;12,48;<0.1;60,9;38;0,06;<0.1;6;0,02;0,09;5,1;8,2;0,04;0,29;17,1;10,5;0,27;1;25;144,7;7,52;2,67;3,79;15,51;1,35;55,5;0,36;89,4;21,36;15,8;1,53;0,3;1,5;0,29
MA-R-117E - (IBX-403);ROCHA;14,89;7,24;<0.01;4,78;4,37;7,57;0,08;0,11;0,19;44,66;0,81;14,43;99,16;449;3,9;12,87;19,7;4,42;14,53;178;1,5;36,8;0,93;9,2;1,89;0,2;14,82;149;0,1;<0.1;19;0,29;0,08;14,2;25,7;<0.01;0,25;38,1;23,1;0,5;<1;59;41,5;2,59;1,69;0,32;2,79;0,55;23,3;0,36;16,7;4,68;3;0,37;0,32;1,9;1,14
MA-R-117F - (IBX-404);ROCHA;0,75;23,99;<0.01;0,46;0,19;17,29;0,02;0,06;0,34;13,63;0,03;39,07;95,84;24;0,4;0,31;0,7;0,32;1,22;7,1;<0.3;60,5;<0.05;1,2;0,57;<0.1;7,26;6,5;0,01;<0.1;<1;<0.02;<0.01;1,8;11,4;0,02;0,1;11,3;2,9;<0.05;<1;6;23,7;1,12;0,43;0,46;1,96;0,23;12,5;<0.05;15;3,3;2,9;0,23;0,06;0,2;0,28
MA-R-117G - (IBX-405);ROCHA;1,22;5,27;<0.01;2,84;0,35;2,13;0,07;0,01;1,91;78,29;0,06;5,17;97,34;77;0,6;0,49;1,4;0,69;2,77;11,5;0,5;37,8;0,12;1,2;1,97;<0.1;6;22,5;0,01;<0.1;15;0,07;0,04;8,4;6;<0.01;0,44;14,4;17,5;1,75;<1;13;11,7;1,19;0,35;0,46;1,62;0,17;4,5;<0.05;5,5;1,24;1,5;0,19;0,08;0,3;0,64
MA-R-118A - (IBX-406);ROCHA;2,62;28,21;<0.01;2,41;0,83;13,18;0,07;0,05;5,99;11,94;0,13;30,12;95,54;74;1,2;2,3;3,9;0,9;4,48;31,5;2,9;96,5;0,26;2,4;4,21;1;33,52;37,6;<0.01;<0.1;17;0,05;0,1;7,6;26,5;<0.01;0,41;18,9;14,6;0,56;<1;12;22,1;3,66;2,34;0,81;4,41;0,81;16,8;0,27;16,8;3,89;3,8;0,64;0,4;1,7;0,35
MA-R-118B - (IBX-407);ROCHA;5,19;35,7;<0.01;1,91;1,4;0,85;0,02;0,03;0,1;20,21;0,3;30,04;95,75;228;1;3,18;7;2,15;6,5;79,7;3,5;1482;0,26;4,8;1,78;<0.1;14,09;56,1;0,04;<0.1;3;<0.02;0,22;4,9;10,5;0,03;0,49;17;8,8;0,16;<1;17;29,1;2,53;1,82;0,97;3,11;0,87;15,9;0,26;14,5;4,61;3,5;0,92;0,3;1,5;0,57
MA-R-118C - (IBX-408);ROCHA;16,5;6,4;0,01;6,61;3,23;3,05;0,07;0,19;0,15;52,94;0,81;9,79;99,75;395;3,3;8,66;22,7;4,23;14,62;159;2,2;56;1,81;10,7;1,92;3,7;28,24;134;0,03;<0.1;8;0,29;0,01;16,5;36,3;<0.01;0,17;43,1;15,7;0,25;<1;74;60,6;5,16;2,69;1,23;5,36;1,08;31,3;0,58;31,1;7,64;5,8;0,84;0,52;2,7;0,79
MA-R-118D - (IBX-409);ROCHA;19,14;0,64;0,01;5,83;4,96;3,34;0,06;0,05;0,11;59,5;0,85;4,54;99,03;465;2,7;11,81;27,2;4,22;16,4;227;2,7;67,1;1,69;11,5;2,15;0,5;25,62;130;0,06;<0.1;29;0,33;0,14;21,6;25,8;<0.01;0,43;47,6;15,1;1,08;<1;96;59,2;4,36;2,87;0,88;4,68;0,99;29,6;0,46;29,4;7,25;6,1;0,71;0,4;2,7;3,18
MA-R-118E - (IBX-410);ROCHA;1,81;39,22;<0.01;0,85;0,46;5,4;0,06;0,23;2,25;9,59;0,09;35,81;95,77;37;0,8;1,27;2,3;0,67;2,4;19,5;2,4;154;0,58;1,2;2,09;<0.1;13,51;18,6;0,03;<0.1;2;<0.02;<0.01;2;5,4;<0.01;0,1;14,3;4,7;0,09;<1;7;10,5;1,62;0,54;0,3;1,58;0,32;7,5;0,67;7,3;1,66;1,5;0,27;0,14;0,8;0,28
MA-R-118F - (IBX-411);ROCHA;3,31;41,86;<0.01;1,42;0,82;0,93;0,04;0,28;0,07;12,27;0,19;34,95;96,15;112;0,8;1,96;4,1;1,04;3,12;32,5;<0.3;2152;0,38;2;1,26;0,8;13,14;35;0,04;<0.1;1;<0.02;0,02;3,9;8,7;<0.01;0,47;19,6;5;0,11;<1;13;20;2,06;1,17;0,48;2,28;0,42;10,8;0,24;10,3;2,35;2,3;0,31;0,18;0,9;0,43
