;;Method;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A
;;Analyte;Umido;Seco;Cont massa B;Passante;Retido;Granul 2mm;Entrada Pu;Saida Pu;Controle Massa Pu;Retido 150;Granulometria_150;Al2O3;Ba;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;Nb;P2O5;SiO2;Sr;TiO2;Y;Zn;Zr;LOI;Sum;Ag;Ce;Co;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Lu;Mo;Nb;Nd;Ni;Pr;Rb;Sm;Sn;Ta;Tb;Th;Tl;Tm;U;V;W;Yb
;;Unit;g;g;%;g;g;%;g;g;%;g;%;%;ppm;%;%;%;%;%;%;%;ppm;%;%;ppm;%;ppm;ppm;ppm;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0;0;0,01;10;0,01;0,01;0,01;0,01;0,01;0,01;0,01;10;0,01;0,01;10;0,01;10;5;10;0,01;0,01;1;0,1;0,5;0,05;5;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,1;0,05;2;0,05;0,1;5;0,05;0,2;0,1;0,3;0,05;0,05;0,1;0,5;0,05;0,05;5;0,1;0,1
VC-R-005;ICC0412;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,83;82;26,69;<0.01;0,29;0,38;17,66;0,03;0,08;<10;0,02;15,08;54;0,02;<10;83;12;39,57;100,66;<1;6,1;1,7;<0.05;11;0,66;0,43;<0.05;12;0,53;0,12;<0.05;7;<0.05;<2;<0.05;2,8;20;0,45;6,7;0,5;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,76;38;<0.1;<0.1
VC-R-006;ICC0413;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,29;15;26,88;<0.01;0,18;0,11;18,47;0,01;0,07;<10;0,02;8,15;44;0,01;<10;58;10;42,87;97,06;<1;10,5;103,5;<0.05;9;0,91;0,6;<0.05;11,1;0,79;0,16;<0.05;13,1;0,22;<2;<0.05;5,7;68;0,99;<0.2;0,8;2,2;<0.05;<0.05;<0.1;<0.5;<0.05;0,14;41;<0.1;<0.1
VC-R-008;ICC0414;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,37;186;2,75;<0.01;10,67;0,04;0,97;0,09;0,07;<10;0,08;82,11;18;0,01;<10;64;24;4,08;101,24;<1;15,7;2,4;<0.05;14;1,43;0,74;<0.05;10,4;1,78;0,25;0,1;17,9;0,06;<2;<0.05;7;32;1,53;<0.2;1,7;<0.3;<0.05;0,16;0,5;<0.5;<0.05;0,35;75;<0.1;0,4
VC-R-009;ICC0415;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,59;40;26,67;<0.01;1,51;0,12;17,17;0,36;0,2;<10;0,04;10,24;115;0,03;<10;16;17;41,64;98,57;<1;9;2,3;<0.05;8;0,75;0,75;<0.05;12,9;0,62;0,22;<0.05;15,1;0,09;<2;<0.05;5,4;41;0,66;<0.2;0,9;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,88;182;<0.1;0,3
VC-R-010-A;ICC0416;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,3;33;6,69;<0.01;0,95;0,09;4,47;0,05;0,04;<10;0,02;76,61;21;0,02;<10;165;<10;10,15;99,39;<1;5,7;2;<0.05;11;0,51;0,26;<0.05;13,4;0,08;<0.05;<0.05;13,6;0,06;<2;<0.05;1,9;15;0,12;0,8;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;1,07;49;<0.1;<0.1
VC-R-010-A-D;ICC0417;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,17;27;9,75;<0.01;1,15;0,05;0,51;0,02;0,04;<10;0,1;79,96;16;0,01;<10;41;<10;8,24;99,99;<1;5,8;1,5;<0.05;14;0,16;0,14;<0.05;13,4;0,14;0,22;<0.05;11,3;0,06;<2;<0.05;1,7;29;0,36;<0.2;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,66;101;<0.1;<0.1
VC-R-010-B;ICC0418;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,93;97;29,72;<0.01;0,28;0,38;16,87;0,03;0,05;<10;0,1;10,5;53;0,03;<10;11;16;41,29;100,19;<1;22,4;3,6;0,44;11;1,82;1,15;<0.05;13,9;1,63;0,9;0,1;41;0,15;<2;<0.05;8,7;72;2,18;9,3;1;<0.3;<0.05;0,08;1,1;<0.5;<0.05;1,63;311;<0.1;0,3
VC-R-010-C;ICC0419;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,41;63;51,48;<0.01;0,2;0,12;1,2;0,02;0,05;<10;0,13;2,06;45;0,02;<10;14;16;42,84;98,52;<1;6;4,5;<0.05;9;0,38;0,21;<0.05;12,7;<0.05;0,24;<0.05;11,3;<0.05;<2;<0.05;3,2;30;0,39;1,4;0,5;1,5;<0.05;<0.05;<0.1;<0.5;<0.05;0,3;116;<0.1;<0.1
VC-R-011;ICC0420;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,46;91;23,91;<0.01;0,53;0,61;15,29;0,01;0,18;<10;0,02;17,95;45;0,06;<10;32;22;36,92;96,95;<1;8,6;2;0,21;11;0,47;0,38;<0.05;13,5;0,43;0,69;<0.05;9,5;<0.05;<2;<0.05;4,2;17;0,79;21,7;0,8;<0.3;1,13;<0.05;0,6;<0.5;<0.05;0,17;27;20,7;0,1
VC-R-012;ICC0421;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,24;27;27,23;<0.01;1,12;0,1;18,6;0,08;0,02;<10;0,02;2,98;92;0,01;<10;6;14;45,05;95,46;<1;4,8;1,2;<0.05;6;0,24;0,16;<0.05;13,2;<0.05;0,22;<0.05;8,8;0,06;<2;<0.05;1,6;24;0,3;2,6;0,2;5,9;0,85;<0.05;0,7;<0.5;<0.05;0,24;40;10,1;<0.1
