;;Method;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A
;;Analyte;Umido;Seco;Cont massa B;Passante;Retido;Granul 2mm;Entrada Pu;Saida Pu;Controle Massa Pu;Retido 150;Granulometria_150;Al2O3;Ba;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;Nb;P2O5;SiO2;Sr;TiO2;Y;Zn;Zr;LOI;Sum;Ag;Ce;Co;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Lu;Mo;Nb;Nd;Ni;Pr;Rb;Sm;Sn;Ta;Tb;Th;Tl;Tm;U;V;W;Yb
;;Unit;g;g;%;g;g;%;g;g;%;g;%;%;ppm;%;%;%;%;%;%;%;ppm;%;%;ppm;%;ppm;ppm;ppm;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0;0;0,01;10;0,01;0,01;0,01;0,01;0,01;0,01;0,01;10;0,01;0,01;10;0,01;10;5;10;0,01;0,01;1;0,1;0,5;0,05;5;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,1;0,05;2;0,05;0,1;5;0,05;0,2;0,1;0,3;0,05;0,05;0,1;0,5;0,05;0,05;5;0,1;0,1
VC-R-025;ICC0432;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,42;169;51,31;<0.01;0,17;0,08;0,28;0,01;0,02;<10;0,07;9,5;131;0,03;<10;8;23;40,39;102,28;<1;4,6;2,7;<0.05;10;0,29;0,17;<0.05;9;0,07;0,29;<0.05;6,3;0,09;<2;<0.05;2;24;0,22;1,7;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,96;63;<0.1;<0.1
VC-R-026;ICC0433;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;49;2,41;<0.01;0,96;0,04;1,3;0,04;<0.01;<10;0,21;>90;15;0,01;<10;13;16;2,77;103,53;<1;5,5;1,4;<0.05;7;0,18;0,1;<0.05;9,1;0,2;0,1;<0.05;13,9;0,22;<2;<0.05;1,8;32;0,2;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,7;139;<0.1;<0.1
VC-R-027;ICC0434;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,54;301;51,92;<0.01;0,23;0,12;0,45;0,01;0,1;<10;0,09;10,91;234;0,05;<10;8;24;40,47;104,91;<1;6,6;2,6;0,18;25;0,56;0,12;<0.05;8,6;<0.05;0,38;<0.05;12,7;<0.05;<2;<0.05;2,4;31;0,28;0,5;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,62;46;<0.1;<0.1
VC-R-028;ICC0435;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;<10;52,64;<0.01;0,14;0,04;1,35;<0.01;0,03;<10;0,09;0,38;991;0,01;<10;<5;18;43,32;98,06;<1;4,2;1,2;<0.05;5;0,24;0,26;<0.05;6,5;<0.05;0,06;<0.05;12,2;<0.05;<2;<0.05;1;26;<0.05;<0.2;0,3;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,52;56;<0.1;<0.1
VC-R-029;ICC0436;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;<10;57,95;<0.01;0,07;0,03;0,18;<0.01;0,02;<10;0,08;0,41;1100;<0.01;<10;<5;<10;43,2;102,02;<1;1,3;0,7;<0.05;8;<0.05;<0.05;<0.05;6,1;<0.05;<0.05;<0.05;3,1;<0.05;<2;<0.05;0,6;18;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,72;21;<0.1;<0.1
VC-R-030;ICC0437;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,56;81;46,76;<0.01;0,3;0,11;7,52;0,03;0,02;<10;0,17;3,28;56;0,04;<10;12;33;43,41;102,19;<1;5,7;3,4;0,15;13;0,37;0,26;<0.05;7,7;<0.05;0,41;<0.05;9,8;0,06;<2;<0.05;3;44;0,32;0,8;0,5;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,26;50;<0.1;<0.1
VC-R-031-A;ICC0438;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,3;172;37,75;<0.01;2,59;0,1;13,28;0,25;0,04;<10;1,47;1,43;52;0,02;<10;113;13;42,62;99,86;<1;5,5;1,9;<0.05;13;0,98;0,6;<0.05;6,3;0,48;<0.05;<0.05;8,1;<0.05;<2;<0.05;2,9;28;0,34;<0.2;0,3;9,2;<0.05;<0.05;<0.1;<0.5;<0.05;1,26;90;<0.1;<0.1
VC-R-031-B;ICC0439;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,02;<10;58,58;<0.01;0,04;0,01;0,22;<0.01;<0.01;<10;0,04;0,21;1056;<0.01;<10;8;<10;42,89;102,03;<1;0,5;<0.5;<0.05;5;0,11;0,08;<0.05;4;<0.05;<0.05;<0.05;2,2;<0.05;<2;<0.05;0,2;11;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,66;16;<0.1;<0.1
VC-R-032;ICC0440;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,32;151;58,03;<0.01;0,15;0,07;0,29;0,06;0,01;<10;0,12;1,83;73;0,02;<10;10;<10;43,11;104,01;<1;2,9;1,7;0,06;10;<0.05;0,12;<0.05;4,9;<0.05;0,06;<0.05;3,2;<0.05;<2;<0.05;0,9;11;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,21;15;<0.1;<0.1
VC-R-033;ICC0441;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,2;15;26,13;<0.01;0,26;0,07;17,65;0,02;0,04;<10;0,02;8,85;70;0,01;<10;<5;<10;42,21;95,46;<1;5,1;0,7;<0.05;9;0,17;0,11;<0.05;5,4;<0.05;0,06;<0.05;9,6;<0.05;<2;<0.05;1,5;28;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,79;82;<0.1;<0.1
VC-R-035;ICC0442;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,25;13;37,81;<0.01;0,16;0,05;12,1;0,04;0,07;<10;0,02;2,99;477;0,02;<10;53;11;43,84;97,35;<1;9,1;1,3;<0.05;7;0,57;0,7;0,99;3,5;1,33;0,44;0,4;17,4;0,34;15;0,42;3,9;32;2,43;9,4;1,3;3,4;5,69;0,49;0,7;<0.5;0,21;1,01;123;11;0,3
VC-R-036;ICC0443;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;<10;50,96;<0.01;0,05;0,02;1,26;<0.01;<0.01;<10;0,05;0,29;424;0,01;<10;8;<10;42,92;95,61;<1;7,3;<0.5;<0.05;<5;0,32;0,22;<0.05;4,7;0,24;0,14;<0.05;20;0,06;<2;<0.05;2,2;14;0,58;1,8;<0.1;<0.3;1,96;<0.05;<0.1;<0.5;<0.05;0,88;63;<0.1;<0.1
VC-R-037;ICC0444;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;16;56,02;<0.01;0,07;0,03;0,26;<0.01;0,03;<10;0,04;0,34;1058;0,01;<10;7;<10;43,54;100,42;<1;11,2;1,5;<0.05;9;0,73;0,25;<0.05;3,2;0,64;0,08;<0.05;29,7;0,1;2;<0.05;3,5;53;1,12;<0.2;0,4;<0.3;0,96;<0.05;<0.1;<0.5;<0.05;1,06;289;0,3;<0.1
VC-R-038;ICC0445;ROCHA;1460;1460;97,6;1290;135;9,47;290;280;96,55;1;0,36;0,06;<10;56,97;<0.01;0,04;0,02;0,42;<0.01;0,04;<10;0,05;0,54;763;<0.01;<10;7;<10;42,75;100,89;<1;5,9;0,7;<0.05;<5;0,3;0,12;<0.05;<0.1;0,66;<0.05;<0.05;10,3;0,08;<2;<0.05;2,2;22;0,66;<0.2;0,3;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,53;30;<0.1;<0.1
VC-R-039;ICC0446;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;<10;28,75;<0.01;0,04;0,02;20,13;<0.01;0,05;<10;0,03;2,45;45;0,01;<10;54;10;45,4;96,94;<1;2,1;<0.5;<0.05;5;0,07;<0.05;<0.05;0,8;<0.05;<0.05;<0.05;7,3;0,09;<2;<0.05;0,8;20;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,13;33;<0.1;<0.1
BRANCO_PREP;;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,01;<10;0,06;<0.01;1,82;<0.01;<0.01;0,02;0,06;<10;<0.01;>90;<10;<0.01;<10;<5;<10;0,2;98,95;<1;1;0,7;<0.05;<5;<0.05;<0.05;<0.05;0,7;<0.05;<0.05;<0.05;3,7;0,08;<2;<0.05;0,2;<5;0,1;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;<0.05;<5;<0.1;<0.1
VC-R-040;ICC0447;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,79;61;26,79;<0.01;0,31;0,27;18,18;0,09;0,05;<10;0,06;5;31;0,05;<10;11;20;43,89;95,48;<1;14,9;4,2;0,15;15;1,51;0,75;0,17;1,1;1,36;0,42;0,09;18,1;0,57;<2;<0.05;8;36;1,86;9,6;1,3;<0.3;<0.05;<0.05;0,4;<0.5;<0.05;0,24;111;<0.1;0,3
VC-R-041;ICC0448;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;12,84;1615;0,88;<0.01;1,95;4,27;0,37;0,08;4,09;<10;0,06;73,49;179;0,24;36;18;176;0,8;99,04;<1;109,2;2,2;0,39;25;5,56;3,38;0,75;17,3;6,87;3,11;1,02;108,7;0,5;<2;3,53;62,3;16;16,64;115,3;10,6;<0.3;<0.05;0,77;5,1;<0.5;0,33;0,79;53;<0.1;2,8
VC-R-042;ICC0449;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,16;<10;31,78;<0.01;0,07;0,06;17,65;<0.01;0,05;<10;0,04;1,1;116;0,02;<10;35;<10;45,92;96,85;<1;9,6;0,9;0,17;8;0,54;0,23;<0.05;<0.1;0,21;0,42;<0.05;22,9;<0.05;<2;<0.05;3,6;45;0,79;0,5;<0.1;<0.3;<0.05;<0.05;1;<0.5;<0.05;0,4;202;<0.1;<0.1
VC-R-043;ICC0450;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,24;16;31,07;<0.01;0,09;0,1;17,73;<0.01;0,04;<10;0,05;1,78;91;0,02;<10;56;<10;45,29;96,41;<1;6,5;1,7;<0.05;7;0,44;<0.05;<0.05;<0.1;0,1;0,14;<0.05;13,3;<0.05;<2;<0.05;2,5;30;0,3;0,4;0,4;<0.3;<0.05;<0.05;0,3;<0.5;<0.05;0,68;60;<0.1;<0.1
VC-R-044;ICC0451;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,29;<10;30,7;<0.01;0,22;0,13;19,05;<0.01;0,03;<10;0,05;2,76;70;0,02;<10;<5;13;45,05;98,31;<1;6,1;1;<0.05;7;0,21;0,19;<0.05;<0.1;<0.05;<0.05;<0.05;13,2;<0.05;<2;<0.05;2,3;21;0,21;1,1;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,42;61;<0.1;<0.1
VC-R-045;ICC0452;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,28;<10;32,06;<0.01;0,21;0,12;22,56;0,01;0,03;<10;0,04;1,87;44;0,02;<10;<5;13;45,87;103,07;<1;5,6;1,6;<0.05;7;0,35;0,28;<0.05;<0.1;<0.05;0,19;<0.05;9,2;0,06;<2;<0.05;2,6;24;0,22;<0.2;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,09;39;<0.1;<0.1
VC-R-046;ICC0453;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,25;<10;32,76;<0.01;0,2;0,09;20,67;0,01;0,02;<10;0,08;3,11;60;0,02;<10;6;<10;45,09;102,31;<1;4,7;0,9;<0.05;8;0,33;0,17;<0.05;<0.1;0,25;0,17;<0.05;8;0,12;<2;<0.05;2,4;24;0,15;<0.2;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,71;91;<0.1;<0.1
VC-R-047;ICC0454;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;<10;31,96;<0.01;0,1;0,04;21,11;<0.01;0,03;<10;0,03;2,96;47;<0.01;<10;<5;<10;45,38;101,71;<1;5;0,5;<0.05;11;<0.05;0,15;<0.05;<0.1;<0.05;0,13;<0.05;10;<0.05;<2;<0.05;1,3;21;0,08;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,15;50;<0.1;<0.1
VC-R-048;ICC0455;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;<10;31,11;<0.01;0,13;0,02;21,48;<0.01;0,09;<10;0,03;4,69;78;<0.01;<10;<5;13;44,78;102,41;<1;3,7;1;<0.05;5;0,61;0,17;<0.05;<0.1;0,21;<0.05;<0.05;8,8;0,06;<2;<0.05;2;19;0,08;<0.2;0,6;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,1;33;<0.1;<0.1
VC-R-049;ICC0456;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,23;11;29,35;<0.01;0,37;0,1;20,29;0,03;0,03;<10;0,02;9,1;36;0,01;<10;7;<10;42,35;101,87;<1;5,5;1,1;<0.05;8;<0.05;<0.05;<0.05;<0.1;<0.05;<0.05;<0.05;8,1;0,08;<2;<0.05;1,8;19;0,16;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,2;35;<0.1;<0.1
VC-R-050;ICC0457;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;<10;29,07;<0.01;0,11;0,02;20,27;0,02;0,02;<10;0,03;2,51;45;0,01;<10;<5;18;46,58;98,71;<1;7;0,7;<0.05;9;0,11;0,19;<0.05;<0.1;0,06;<0.05;<0.05;15,9;0,3;<2;<0.05;2,4;40;0,3;<0.2;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,58;156;<0.1;<0.1
VC-R-051-A;ICC0458;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,19;13;24,09;<0.01;0,31;0,08;16,33;<0.01;0,03;<10;0,02;16,08;49;0,02;<10;22;<10;38,96;96,12;<1;4,5;1,3;<0.05;7;0,23;0,19;<0.05;<0.1;<0.05;<0.05;<0.05;11,5;0,25;<2;<0.05;1,5;26;<0.05;<0.2;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,65;43;<0.1;<0.1
VC-R-051-B;ICC0459;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,32;11;6,76;<0.01;1,15;0,11;4,67;0,02;0,04;<10;0,03;71,96;21;0,02;<10;<5;14;10,4;95,49;<1;6,9;2,5;0,12;8;0,4;0,4;<0.05;0,3;0,26;0,26;<0.05;15,1;0,22;3;<0.05;2,3;37;0,93;5,3;0,5;<0.3;1,91;<0.05;0,1;<0.5;<0.05;0,85;49;1,7;<0.1
VC-R-052;ICC0460;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;<10;27,87;<0.01;0,12;0,04;19,13;0,01;0,03;<10;0,03;3,7;35;0,01;<10;5;<10;44,84;95,87;<1;3,2;0,9;<0.05;<5;0,15;0,06;<0.05;<0.1;<0.05;0,1;<0.05;8,6;0,19;<2;<0.05;1;23;0,06;0,5;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,69;38;<0.1;<0.1
VC-R-052-B;ICC0461;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,92;207;0,21;0,01;4,9;0,08;0,07;0,22;0,02;<10;<0.01;87,37;<10;0,11;<10;11;82;1,29;96,21;<1;62,3;12,3;0,86;18;1,4;0,92;0,08;4,8;1,52;1,64;0,2;17,9;0,28;<2;<0.05;11,4;38;2,75;5,1;2,4;<0.3;<0.05;0,06;2;<0.5;<0.05;0,46;76;<0.1;0,4
VC-R-053;ICC0462;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,26;14;47,32;<0.01;0,19;0,07;4,86;<0.01;0,03;<10;<0.01;1,32;1183;0,02;<10;<5;<10;43,95;98,03;<1;9;90,6;<0.05;<5;0,34;0,28;<0.05;<0.1;0,3;0,4;<0.05;9,6;0,24;<2;<0.05;2,9;67;0,58;1;0,2;<0.3;<0.05;<0.05;0,4;<0.5;<0.05;0,87;56;<0.1;<0.1
VC-R-054;ICC0463;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,26;13;52,33;<0.01;0,19;0,08;2,06;0,01;0,05;<10;<0.01;1,05;1045;0,02;<10;<5;<10;43,25;99,3;<1;5,3;0,8;<0.05;5;0,34;0,08;<0.05;1,4;<0.05;0,13;<0.05;9,4;0,19;<2;<0.05;1,9;28;0,23;0,6;0,3;<0.3;<0.05;<0.05;0,2;<0.5;<0.05;1,82;54;<0.1;<0.1
VC-R-057;ICC0464;ROCHA;745;740;95,95;605;105;14,79;350;340;97,14;1;0,29;0,12;<10;50,18;<0.01;0,09;0,05;0,91;<0.01;0,01;<10;0,02;0,66;1449;0,01;<10;<5;<10;43,12;95,17;<1;3,1;<0.5;<0.05;6;0,06;0,09;<0.05;<0.1;<0.05;<0.05;<0.05;4,9;0,15;<2;<0.05;0,9;23;<0.05;<0.2;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,71;23;<0.1;<0.1
VC-R-058;ICC0465;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,13;<10;49,92;<0.01;0,14;0,05;2,58;<0.01;0,05;<10;<0.01;0,6;1394;0,01;<10;42;<10;43,65;97,12;<1;3,9;1;<0.05;12;0,17;0,15;<0.05;<0.1;<0.05;0,09;<0.05;9,3;0,2;<2;<0.05;1,5;27;0,11;<0.2;0,3;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;1,51;31;<0.1;<0.1
VC-R-059;ICC0466;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,21;13;30,88;<0.01;0,18;0,07;19,99;0,01;0,07;<10;0,03;0,93;138;0,02;<10;<5;<10;46,26;98,63;<1;8,6;0,6;<0.05;6;0,43;0,19;<0.05;<0.1;0,39;0,15;<0.05;15,6;0,23;<2;<0.05;2,9;39;0,5;<0.2;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,89;129;<0.1;<0.1
VC-R-060;ICC0467;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,4;23;32,24;<0.01;0,28;0,14;20,25;0,01;0,05;<10;0,04;1,24;137;0,03;<10;<5;20;46,33;101,01;<1;4,9;0,8;<0.05;5;0,44;0,26;<0.05;0,1;0,2;0,14;<0.05;9,8;0,22;<2;<0.05;1,4;23;0,2;1,6;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,6;92;4,9;<0.1
VC-R-061;ICC0468;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,25;17;31,38;<0.01;0,15;0,1;17,92;0,01;0,03;<10;0,04;0,9;167;0,02;<10;<5;<10;46,02;96,81;<1;4;0,6;<0.05;16;0,32;0,34;<0.05;<0.1;<0.05;0,06;<0.05;8,5;0,26;<2;<0.05;1,3;23;<0.05;0,3;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,41;53;<0.1;<0.1
VC-R-062;ICC0469;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,82;82;29,63;<0.01;0,28;0,39;16,98;0,01;0,06;<10;0,02;9,48;163;0,03;<10;120;13;41,69;99,39;<1;4,2;1,1;0,13;18;0,41;0,15;<0.05;1;0,07;0,19;<0.05;5,5;0,22;<2;<0.05;1,4;15;<0.05;10,3;0,3;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,32;18;<0.1;<0.1
VC-R-063;ICC0470;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;<10;34,45;<0.01;0,16;0,03;19,12;<0.01;0,03;<10;0,03;0,35;217;<0.01;<10;<5;<10;46,34;100,63;<1;2,3;<0.5;<0.05;6;0,18;0,06;<0.05;<0.1;<0.05;<0.05;<0.05;4,8;0,18;<2;<0.05;0,2;22;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,32;46;<0.1;<0.1
VC-R-064;ICC0471;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,24;<10;57,58;<0.01;0,11;0,06;0,42;<0.01;0,01;<10;0,08;1,4;3071;0,02;<10;<5;<10;42,64;102,57;<1;4,2;0,8;<0.05;6;0,54;0,1;<0.05;<0.1;<0.05;<0.05;<0.05;6,8;0,37;<2;<0.05;1,5;21;0,19;<0.2;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,93;28;<0.1;<0.1
VC-R-065;ICC0472;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,13;<10;52,12;<0.01;0,17;0,02;0,24;<0.01;0,04;<10;0,04;0,91;3229;0,01;<10;<5;<10;43,32;97,01;<1;3,2;0,7;0,08;6;0,22;0,06;<0.05;<0.1;<0.05;<0.05;<0.05;8;0,16;<2;<0.05;0,8;21;<0.05;<0.2;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,59;33;<0.1;<0.1
VC-R-066;ICC0473;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,26;12;33,55;<0.01;0,16;0,13;19,51;<0.01;0,08;<10;0,03;1,11;169;0,02;<10;33;<10;46,07;100,93;<1;1,9;0,6;<0.05;6;0,1;<0.05;<0.05;<0.1;<0.05;0,06;<0.05;3,2;0,14;<2;<0.05;0,5;12;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;1,03;15;<0.1;<0.1
VC-R-067-A;ICC0474;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,27;13;49,41;<0.01;0,19;0,11;1,84;0,01;<0.01;<10;0,02;1,16;1018;0,02;<10;<5;<10;43,1;96,15;<1;5,6;1,1;<0.05;6;0,37;0,23;<0.05;0,2;<0.05;<0.05;<0.05;14,3;0,31;<2;<0.05;1,7;26;0,19;<0.2;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,81;38;<0.1;<0.1
VC-R-067-B;ICC0475;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;<10;31,58;<0.01;0,22;0,04;18,72;0,03;0,07;<10;0,01;0,33;210;0,01;<10;28;<10;46,55;97,68;<1;4,6;1,4;<0.05;<5;0,4;0,42;<0.05;<0.1;0,29;<0.05;<0.05;14,3;0,36;<2;<0.05;1,7;37;0,06;<0.2;0,3;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,63;55;<0.1;<0.1
VC-R-068;ICC0476;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;24,07;506;0,06;0,02;8,83;5,28;1,72;0,02;0,07;<10;0,06;53,82;14;1,1;45;126;242;7,24;102,27;<1;35,4;7;8,9;36;7;4,44;0,91;37,5;6,13;5,04;1,32;55;0,85;<2;10,67;37,3;65;9,45;249,4;5,5;<0.3;<0.05;0,83;8,2;0,7;0,47;4,31;108;<0.1;3,8
VC-R-069;ICC0477;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,8;65;30,63;<0.01;0,73;0,47;19,75;0,06;0,09;<10;0,11;5,61;167;0,09;<10;12;39;45,05;104,39;<1;11,6;1,8;0,42;11;0,98;0,65;<0.05;2,6;0,96;0,61;<0.05;19;0,29;<2;<0.05;6,7;37;1,36;19;1,1;<0.3;<0.05;<0.05;1,5;<0.5;<0.05;1,59;99;<0.1;0,4
