SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Cia de Pesquisa de Recursos Minerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;2/8/2010 08:45:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ1004993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;C.C. 4068-500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 1560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;28/7/2010 08:45:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;;Analyte;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;ROCHA;<0.02;0,02;<1;<5;<0.1;<0.04;0,02;<0.02;<0.05;0,4;2;<5;2,5;0,47;0,1;<0.02;<0.02;<0.01;0,4;18;0,01;<0.01;<0.01;0,82;<0.01;0,2;1,5;<50;1,1;2,8;<0.1;<0.01;0,07;<0.5;<2;0,8;<0.5;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;0,1;<0.1;<1;<0.5
VC-R-35 ;IBY572;ROCHA;0,13;0,15;<1;15;<0.1;<0.04;>15;0,18;2,58;0,9;<1;<5;2;0,13;0,4;0,08;<0.02;0,07;1,6;3;0,02;11,8;<0.01;0,17;0,06;0,4;13;131;1,1;11,4;<0.1;0,02;<0.05;<0.5;<2;0,7;64,2;<0.05;0,06;<0.05;0,6;<0.01;0,02;0,2;4;<0.1;1,8;0,2;7;2,9
VC-R-36 ;IBY573;ROCHA;0,13;0,2;<1;19;0,1;<0.04;>15;0,16;2,81;1;2;<5;2;0,15;0,6;0,11;<0.02;0,09;1,8;5;0,02;11,58;<0.01;0,14;0,07;0,5;12,6;185;1;9,3;<0.1;0,05;<0.05;<0.5;<2;0,7;59,4;<0.05;<0.05;<0.05;0,4;0,01;<0.02;0,3;6;0,2;2,3;0,2;9;4,1
VC-R-37 ;IBY574;ROCHA;0,72;0,02;<1;8;<0.1;<0.04;>15;<0.02;0,96;1,1;<1;<5;1,2;0,02;<0.1;<0.02;<0.02;<0.01;0,7;<1;<0.01;0,69;0,02;0,05;0,01;0,1;20,1;165;0,8;0,8;<0.1;<0.01;<0.05;<0.5;<2;0,7;97,9;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;0,2;3;<0.1;1,4;<0.1;5;0,8
VC-R-38 ;IBY575;ROCHA;0,18;0,05;<1;10;<0.1;<0.04;>15;0,05;2,42;1,2;1;<5;2,2;0,04;0,2;0,05;<0.02;0,03;1,3;<1;0,04;0,9;<0.01;0,29;0,01;0,3;22,1;529;1,7;4;<0.1;<0.01;<0.05;<0.5;<2;0,7;83,1;<0.05;0,08;<0.05;<0.2;<0.01;<0.02;0,4;4;<0.1;5,6;0,3;5;2,3
VC-R-49 ;IBY576;ROCHA;0,11;0,07;<1;6;<0.1;<0.04;0,27;<0.02;0,54;0,5;3;<5;2,1;0,43;0,3;0,02;<0.02;<0.01;0,3;<1;<0.01;0,01;<0.01;0,61;<0.01;0,1;1,8;58;0,7;0,5;<0.1;<0.01;0,07;<0.5;<2;0,7;1,6;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;0,1;1;<0.1;0,3;<0.1;3;1,2
