;Method;SCR33;SCR33;SCR33;SCR33;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;Analyte;Peso;Soma Peso;80#;<80#;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;Unit;g;g;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;MDL;0;0;0;0;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
AC-S-5180 GIG941;SEDIMENTO CORRENTE;676;675;95,85;4,15;0,03;0,73;9;<0.1;<10;37;0,5;0,21;0,66;0,03;35,61;23,6;20;0,46;23,8;3,03;4,6;<0.1;0,11;<0.01;0,03;0,11;17,1;7;0,19;468;0,41;<0.01;0,1;23,3;234;16,3;7,9;<0.1;<0.01;0,88;1,6;<1;<0.3;18,3;<0.05;<0.05;5,1;<0.01;0,31;23;<0.1;4,29;35;3,6;0,18;5,05;6;306;1,8;0,14;0,64;0,02;36,69;17,8;59;5;23,2;3,33;14,2;3,34;0,06;1,88;18,8;25;0,22;0,61;0,05;0,4;0,09;7,5;28,4;261;21,2;116;<0.1;<0.01;0,97;10,7;<2;2,6;22,2;0,64;0,35;<0.05;7,6;0,27;0,44;1,7;87;0,8;11,1;1,5;49;87,2
AC-S-5190 GIG942;SEDIMENTO CORRENTE;666;665;96,54;3,46;0,02;0,8;9;<0.1;<10;45;0,6;0,16;2,75;0,04;46,91;24,3;25;0,43;23,1;3,18;4,9;<0.1;0,11;<0.01;0,02;0,1;25,1;6;0,11;794;0,25;<0.01;0,17;24,1;286;18,5;11,4;<0.1;0,01;0,74;2,2;<1;<0.3;51,5;<0.05;<0.05;4,8;<0.01;0,35;25;0,1;8,47;26;2,7;0,08;4,41;9;273;1,7;0,12;2,63;0,07;43,44;18,2;57;<5;21;3,25;11,8;2,94;0,06;1,39;23,9;28;0,23;0,46;0,08;0,39;0,08;6;25,8;333;23;100;<0.1;<0.01;0,84;9,3;<2;2,4;50;0,4;0,41;<0.05;8,2;0,2;0,39;1,4;74;0,5;12,4;1,6;47;75,8
AC-S-5200 GIG943;SEDIMENTO CORRENTE;569;568;76,06;23,94;0,01;0,43;4;<0.1;<10;39;0,4;0,06;0,1;<0.01;28,01;9,5;15;0,4;13,7;1,9;3;<0.1;<0.05;<0.01;<0.02;0,04;12,9;3;0,05;418;0,31;<0.01;<0.05;11,9;146;8,2;5,7;<0.1;<0.01;0,57;1,6;<1;0,4;5,1;<0.05;<0.05;2,8;<0.01;0,36;16;<0.1;3,57;14;1,9;0,04;2,21;3;174;0,7;<0.04;0,11;<0.02;24,38;7,3;32;<5;14;1,89;6,4;1,53;<0.02;0,58;11,5;14;0,09;0,2;0,04;0,26;0,06;2,1;12,5;74;11,5;42,4;<0.1;<0.01;0,64;4,3;<2;1,2;9,4;0,1;0,16;<0.05;4,1;0,09;0,16;1;39;0,3;5;0,7;22;37,7
AC-S-5910 GIG944;SEDIMENTO CORRENTE;539;536;67,54;32,46;<0.01;0,3;3;<0.1;<10;22;0,3;0,02;0,04;0,02;27,21;4,8;10;0,26;9,3;0,95;2,2;<0.1;<0.05;<0.01;<0.02;0,04;13,6;2;0,02;97;0,11;<0.01;<0.05;5,2;117;10,9;5,2;<0.1;<0.01;0,34;1,4;<1;0,3;3,1;<0.05;<0.05;2,4;<0.01;0,29;11;<0.1;2,02;6;1;0,1;1,64;1;76;0,7;<0.04;0,05;<0.02;22,29;4,3;26;<5;10,1;1,1;5;1,37;<0.02;0,4;11,3;11;0,07;0,11;0,01;0,26;0,07;2,6;8,3;64;10;32,8;<0.1;<0.01;0,38;3,7;<2;1,1;5,1;0,15;0,13;<0.05;4;0,11;0,1;0,8;29;0,2;3,6;0,6;14;34,1
AC-S-5920 GIG945;SEDIMENTO CORRENTE;698;697;85,8;14,2;0,03;0,11;<1;<0.1;<10;11;<0.1;<0.02;0,02;0,02;35,69;0,4;2;0,06;4,6;0,14;0,9;<0.1;<0.05;<0.01;<0.02;0,01;19;2;<0.01;23;<0.05;<0.01;<0.05;1;<50;5,3;1,3;<0.1;<0.01;0,11;0,5;<1;<0.3;4,4;<0.05;<0.05;3;<0.01;0,32;3;<0.1;3,22;1;3,5;<0.02;1,76;<1;155;0,2;<0.04;0,14;<0.02;74,63;0,5;5;<5;3,5;0,28;4,2;2,18;<0.02;0,58;40,2;4;0,07;0,03;<0.01;0,07;0,62;1,2;1,5;72;4,7;15,7;<0.1;<0.01;<0.05;1;<2;0,7;46;0,06;0,49;<0.05;10,4;0,06;0,02;1,2;5;<0.1;8,4;0,5;7;47,3
AC-S-5930 GIG946;SEDIMENTO CORRENTE;829;827;82,47;17,53;<0.01;0,19;<1;<0.1;<10;16;0,1;<0.02;0,05;0,02;15,45;2,5;3;0,42;3;0,43;1,2;<0.1;<0.05;<0.01;<0.02;0,04;7,7;2;0,04;99;<0.05;<0.01;0,09;3,1;86;5,8;4;<0.1;<0.01;0,11;0,8;<1;<0.3;3,2;<0.05;<0.05;1,9;<0.01;0,26;4;<0.1;2,22;4;0,8;0,1;2,12;<1;186;0,5;<0.04;0,24;<0.02;26,87;2,2;10;<5;6,7;0,64;5;1,84;0,03;0,74;14,4;9;0,04;0,08;0,02;0,11;0,6;3,7;3,6;109;7,4;29,8;<0.1;<0.01;0,06;2;<2;1,2;59,1;1,07;0,2;<0.05;4,6;0,14;0,05;1;13;0,1;4,9;0,5;10;45,9
AC-S-5940 GIG947;SEDIMENTO CORRENTE;712;710;97,18;2,82;0,01;0,29;<1;<0.1;<10;42;0,1;<0.02;0,05;<0.01;28,25;4,7;7;0,17;5,4;1,07;1,3;<0.1;<0.05;<0.01;<0.02;0,04;15;1;0,04;133;0,06;<0.01;0,13;5,9;129;9,1;3,5;<0.1;<0.01;0,19;1,5;<1;<0.3;3,4;<0.05;<0.05;2,2;0,02;0,28;11;<0.1;4,9;3;1,1;0,08;2,42;<1;366;0,6;0,04;0,13;<0.02;40,66;4,6;20;<5;10,9;1,46;5,6;4,2;0,03;1,29;23,7;5;0,26;0,18;0,02;0,24;0,15;4,9;9;145;13,3;53,4;<0.1;<0.01;0,31;3,6;<2;1,1;30,9;0,3;0,39;<0.05;5,7;0,24;0,16;1,4;26;0,4;13,8;1,8;10;103
AC-S-5613 GIG948;SEDIMENTO CORRENTE;651;649;84,75;15,25;<0.01;0,4;3;<0.1;<10;29;0,4;0,07;0,08;<0.01;35,75;2,7;14;0,37;16;1,75;3,5;<0.1;0,05;<0.01;0,02;0,06;16,5;3;0,02;102;0,16;<0.01;<0.05;5,9;178;11,8;6,5;<0.1;<0.01;0,6;2,6;<1;0,4;5,1;<0.05;<0.05;3,6;<0.01;0,48;21;<0.1;4,35;10;1,5;0,02;2,64;3;141;1;0,06;0,08;<0.02;24,35;2,5;39;<5;15,9;1,83;7,4;2,03;0,04;0,68;12,3;14;0,13;0,18;0,01;0,17;0,03;6,1;8,3;146;10,9;45,8;<0.1;<0.01;0,62;5,7;<2;1,6;7,5;0,46;0,22;<0.05;5,4;0,24;0,18;1,3;50;0,7;7,1;0,9;17;51,6
AC-S-5614 GIG949;SEDIMENTO CORRENTE;737;736;96,06;3,94;0,01;0,34;7;<0.1;<10;165;0,8;0,18;0,05;0,04;99,79;29,6;19;0,27;36,5;2,8;5,3;<0.1;0,19;0,09;<0.02;0,05;22,4;2;0,05;1084;0,25;<0.01;<0.05;31,7;117;27,5;3,6;<0.1;<0.01;0,88;1,7;<1;0,4;6,2;<0.05;<0.05;5;<0.01;0,43;21;<0.1;6,21;35;5,3;0,08;2,68;5;265;1,6;0,15;0,06;<0.02;63,65;20;43;<5;26,3;2,93;9,4;1,84;0,03;0,93;17,5;12;0,16;0,25;0,09;0,2;0,02;4,2;24,4;91;28,9;56;<0.1;<0.01;0,98;6,3;<2;1,6;8;0,27;0,35;<0.05;6,2;0,18;0,23;1,3;56;0,7;9,2;1,2;41;51,8
AC-S-5615 GIG950;SEDIMENTO CORRENTE;562;560;72,14;27,86;0,13;0,22;4;<0.1;<10;21;0,5;0,06;0,03;0,26;23,99;7,8;10;0,25;33,9;1,38;2,1;<0.1;0,06;0,04;0,04;0,03;10,1;1;0,02;247;0,26;<0.01;<0.05;19,4;74;11,7;5,7;<0.1;<0.01;0,42;1,1;<1;0,8;2,3;<0.05;<0.05;2,4;<0.01;0,23;14;0,1;2,13;12;1,9;0,08;1,44;3;81;0,7;<0.04;0,04;<0.02;20,94;6,5;23;<5;12,3;1,55;4,6;1,49;0,02;0,39;9,4;8;0,07;0,12;0,03;0,18;0,01;3,3;9,6;67;12,6;27,5;<0.1;<0.01;0,55;3,5;<2;1,2;4,4;0,1;0,14;<0.05;3,4;0,13;0,09;0,7;29;0,2;4,6;0,7;17;35,8
