;Method;SCR33;SCR33;SCR33;SCR33;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;Analyte;Peso;Soma Peso;80#;<80#;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;Unit;g;g;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;MDL;0;0;0;0;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
AC-S-5616 GIG951;SEDIMENTO CORRENTE;643;641;94,23;5,77;1,55;1,24;11;<0.1;10;42;0,7;0,41;0,55;0,05;73,75;32,9;69;0,45;44,6;2,17;5,7;<0.1;0,15;0,01;0,04;0,09;33,7;18;0,73;389;0,49;0,03;0,2;37,1;568;25,5;11,3;<0.1;0,02;0,9;2,6;1;0,4;17,7;<0.05;0,54;6,7;0,09;0,43;39;0,1;6,98;45;1,2;0,15;5,2;8;253;1,9;0,21;0,44;0,03;60,86;23,7;65;6;27,5;4,13;15,2;3,56;0,05;1,8;29;29;0,24;0,64;0,08;0,31;0,17;6,3;34;337;30,5;121;<0.1;<0.01;1,17;12,8;<2;2,6;27;0,77;0,56;<0.05;9,5;0,22;0,45;1,9;88;0,8;13,4;1,9;67;98,4
AC-S-5617 GIG952;SEDIMENTO CORRENTE;588;587;91,99;8,01;0,03;0,8;10;<0.1;<10;44;0,7;0,2;4,69;0,03;56,43;30,4;33;0,38;21,1;3,59;5,4;<0.1;0,15;<0.01;<0.02;0,1;26,8;7;0,17;724;0,4;<0.01;0,28;26,7;320;25,2;10,9;<0.1;0,02;0,78;2,4;<1;<0.3;76,8;<0.05;<0.05;5,5;<0.01;0,38;31;<0.1;7,93;33;4;0,06;4,58;7;251;1,6;0,15;4,17;0,05;48,57;20,2;65;<5;18,6;3,78;12,1;3,05;0,03;1,49;23,8;32;0,23;0,53;0,07;0,28;0,1;5,6;25;258;24,1;101;<0.1;<0.01;0,7;9,2;<2;2,2;76,1;0,71;0,44;<0.05;7,8;0,21;0,41;1,3;82;0,7;12,3;1,5;45;78,6
AC-S-5618 GIG953;SEDIMENTO CORRENTE;735;734;96,87;3,13;0,02;0,57;7;<0.1;<10;32;0,4;0,24;0,5;0,03;33,31;18,9;19;0,37;22,1;2,5;3,9;<0.1;0,13;<0.01;<0.02;0,09;16;5;0,15;381;0,37;<0.01;0,11;20,4;237;18,1;7,5;<0.1;<0.01;0,78;1,4;<1;<0.3;14,2;<0.05;<0.05;4,6;<0.01;0,27;20;<0.1;3,63;30;3,2;0,06;4,32;5;260;1,5;0,22;0,47;<0.02;30,19;15;48;<5;21,5;2,89;12,4;3,3;0,05;1,56;15,1;21;0,18;0,51;0,04;0,37;0,1;7;24,9;173;18,3;102;<0.1;<0.01;1;9,8;<2;2,2;18,9;0,44;0,3;<0.05;6,7;0,24;0,36;1,5;71;0,7;10,2;1,3;42;81,2
AC-S-5619 GIG954;SEDIMENTO CORRENTE;592;591;96,62;3,38;0,03;0,79;10;<0.1;<10;48;0,9;0,15;3,04;0,06;55,02;26,9;26;0,4;27;3,07;5,2;<0.1;0,15;0,01;<0.02;0,1;30,3;5;0,12;900;0,32;<0.01;0,23;25,7;338;24,2;12,8;<0.1;0,01;0,81;2,6;<1;0,9;52,3;<0.05;<0.05;5,6;<0.01;0,35;25;<0.1;9,18;33;2,8;0,13;4,69;5;284;1,6;0,12;2,77;0,06;46,9;18,9;63;5;21,5;3,36;12,6;2,87;0,08;1,47;25,8;31;0,24;0,48;0,08;0,42;0,09;5,1;26,6;275;26,3;107;<0.1;<0.01;0,82;9,7;<2;2,4;53,6;0,5;0,49;<0.05;8,9;0,18;0,41;1,5;78;0,9;13,3;1,8;49;82
AC-S-5620 GIG955;SEDIMENTO CORRENTE;606;605;81,16;18,84;0,01;0,42;6;<0.1;<10;40;0,4;0,08;0,1;0,02;31,57;10,2;19;0,39;15,1;1,92;3,3;<0.1;0,08;0,02;<0.02;0,04;15,4;2;0,05;330;0,23;<0.01;0,05;13,2;137;13,9;6,5;<0.1;<0.01;0,65;1,7;<1;0,3;4,4;<0.05;<0.05;3;<0.01;0,37;17;<0.1;3,94;17;2,3;<0.02;2,4;3;159;0,9;0,04;0,11;0,02;24,54;7,7;37;<5;14,3;2,05;6,8;1,54;<0.02;0,61;12,1;14;0,09;0,21;0,03;0,43;0,07;2,4;13,4;114;11,8;43,5;<0.1;<0.01;0,74;5,1;<2;1,3;8,9;0,23;0,2;<0.05;4,3;0,09;0,15;1;40;0,3;5,7;0,8;26;39,9
AC-S-5681 GIG956;SEDIMENTO CORRENTE;567;566;74,2;25,8;<0.01;0,31;2;<0.1;<10;25;0,3;0,04;0,05;<0.01;29,62;5,7;10;0,26;7,8;1,02;2,2;<0.1;<0.05;<0.01;<0.02;0,03;14,8;2;0,02;132;0,09;<0.01;<0.05;5,4;115;10,5;5,3;<0.1;<0.01;0,36;1,4;<1;<0.3;3,3;<0.05;<0.05;2,4;<0.01;0,29;13;<0.1;2,23;8;1,1;0,02;1,61;1;71;0,5;<0.04;0,06;<0.02;22,5;4,4;28;<5;9,2;1,17;4,4;1,38;<0.02;0,38;11,1;10;0,06;0,11;0,01;0,23;0,06;2,5;7,2;79;9,1;29;<0.1;<0.01;0,38;3,4;<2;1;5,2;0,11;0,12;<0.05;3,6;0,12;0,09;0,7;29;0,2;3,7;0,6;14;36,6
AC-S-5682 GIG957;SEDIMENTO CORRENTE;671;669;91,33;8,67;<0.01;0,09;<1;<0.1;<10;9;<0.1;<0.02;0,02;<0.01;23,8;0,3;1;<0.05;3,4;0,13;0,8;<0.1;<0.05;<0.01;<0.02;0,01;12,6;<1;<0.01;20;<0.05;<0.01;<0.05;0,9;<50;4,6;1,3;<0.1;<0.01;0,12;0,5;<1;<0.3;2,9;<0.05;<0.05;3,5;<0.01;0,2;3;<0.1;2,7;2;<0.5;<0.02;1,69;<1;157;0,2;<0.04;0,14;0,04;37,77;0,5;7;<5;3,6;0,27;3,5;1,6;<0.02;0,59;20,5;4;0,05;0,03;<0.01;0,15;0,61;0,7;1,8;<50;5,1;15,6;<0.1;<0.01;<0.05;0,9;<2;0,7;45,2;<0.05;0,22;<0.05;4,2;0,05;<0.02;0,6;5;<0.1;4,3;0,4;5;33,9
AC-S-5683 GIG958;SEDIMENTO CORRENTE;694;692;85,4;14,6;<0.01;0,16;<1;<0.1;<10;14;0,2;0,02;0,04;0,02;14,49;2,6;4;0,34;3,2;0,39;1;<0.1;<0.05;<0.01;<0.02;0,04;7,8;1;0,04;111;<0.05;<0.01;0,09;3;97;5,6;4;<0.1;<0.01;0,11;0,8;<1;<0.3;2,6;<0.05;<0.05;2,5;<0.01;0,23;5;<0.1;2,09;7;0,5;<0.02;1,91;<1;258;0,4;<0.04;0,21;0,02;27,92;2;9;<5;6,2;0,57;4,6;1,6;<0.02;0,68;13,6;8;0,04;0,07;0,02;0,3;0,56;2,1;3,5;100;7,1;26,9;<0.1;<0.01;<0.05;1,7;<2;1,1;55,2;0,11;0,16;<0.05;4;0,12;0,07;0,9;12;0,2;4,3;0,4;10;40,2
AC-S-5684 GIG959;SEDIMENTO CORRENTE;768;763;98,82;1,18;0,02;0,33;<1;<0.1;<10;48;0,1;<0.02;0,08;0,03;36,89;6,6;11;0,19;7,1;1,1;1,8;<0.1;<0.05;<0.01;<0.02;0,04;18,1;1;0,05;201;<0.05;<0.01;0,15;8,8;225;10,9;4,3;<0.1;<0.01;0,17;1,8;<1;0,4;4,1;<0.05;<0.05;3;0,02;0,3;14;<0.1;5,35;10;1,2;0,07;3,19;<1;463;0,8;0,04;0,2;<0.02;47,44;6,6;23;<5;11,7;1,85;7,8;3,01;<0.02;1,68;25,4;8;0,25;0,28;0,03;0,11;0,28;5,5;12;193;15,6;69,1;<0.1;<0.01;0,33;4,7;<2;1,3;41,7;0,28;0,46;<0.05;5,7;0,29;0,24;1,3;37;0,5;13;1,7;17;82,6
LR-S-5350 GIG960;SEDIMENTO CORRENTE;524;518;89;11;0,03;0,71;5;<0.1;<10;63;0,8;0,1;1,76;0,04;58,72;21,5;19;0,61;18,1;2,38;4,2;<0.1;0,12;<0.01;<0.02;0,07;30,9;7;0,19;800;0,2;<0.01;0,06;23,5;290;15,4;10,3;<0.1;0,03;0,41;2,4;<1;0,4;44,1;<0.05;<0.05;4,2;<0.01;0,24;16;<0.1;8,09;33;2;0,09;3,67;4;209;1,2;0,06;1,69;<0.02;47,56;15,4;43;<5;17;2,76;9,7;2,39;0,03;1,02;25;29;0,2;0,44;0,08;0,24;0,12;5,6;21,5;188;14,8;77,1;<0.1;0,02;0,41;7,4;<2;2;50,5;0,39;0,49;<0.05;6,9;0,2;0,32;1,2;55;0,3;13,2;1,4;50;61,7
LR-S-5360 GIG961;SEDIMENTO CORRENTE;438;433;65,36;34,64;<0.01;0,31;3;<0.1;<10;48;0,5;0,07;0,08;0,03;36,97;6,9;11;0,29;13,8;1,26;3,1;<0.1;<0.05;<0.01;0,02;0,05;18,3;<1;0,01;157;0,13;<0.01;<0.05;9,8;151;11,9;6,1;<0.1;0,01;0,35;1,7;1;<0.3;4,5;<0.05;<0.05;2,4;<0.01;0,26;13;<0.1;5,1;14;0,8;0,08;2,13;2;125;0,7;<0.04;0,09;<0.02;25,58;5,3;27;<5;14,6;1,41;6,1;1,94;0,05;0,54;13,3;7;0,11;0,14;0,02;0,13;0,02;4,3;10,6;125;11,6;40;<0.1;<0.01;0,48;4,8;<2;1,4;7,1;0,26;0,27;<0.05;4,2;0,18;0,14;0,9;36;0,3;7,8;1;23;51,9
LR-S-5370 GIG962;SEDIMENTO CORRENTE;512;509;82,91;17,09;<0.01;0,14;2;<0.1;<10;8;0,2;<0.02;0,02;0,02;11,5;0,9;12;0,17;16,7;0,6;1,9;<0.1;<0.05;<0.01;<0.02;0,02;5,1;<1;<0.01;21;0,17;<0.01;0,06;2,5;59;7,5;2,8;<0.1;<0.01;0,35;1,1;<1;0,4;0,8;<0.05;<0.05;1,4;<0.01;0,15;14;<0.1;1,28;5;0,9;1,41;0,81;<1;33;0,3;<0.04;0,03;<0.02;8,59;0,9;27;<5;8,4;0,68;2,9;1,15;<0.02;0,18;4,2;3;0,03;0,05;<0.01;0,42;<0.01;3,2;3,4;<50;6,9;14,2;<0.1;<0.01;0,37;2,1;<2;1,6;1,9;0,19;<0.05;<0.05;2,2;0,14;0,03;0,5;22;0,1;2,8;0,4;10;27,6
LR-S-5380 GIG963;SEDIMENTO CORRENTE;650;648;82,56;17,44;0,02;0,18;<1;<0.1;<10;9;0,2;<0.02;<0.01;<0.01;7,35;1;2;0,33;38,2;0,14;0,9;<0.1;<0.05;<0.01;<0.02;0,01;3,6;1;<0.01;17;<0.05;<0.01;<0.05;4,8;<50;5,9;2,1;<0.1;<0.01;0,14;0,9;<1;<0.3;0,7;<0.05;<0.05;0,8;<0.01;0,08;5;<0.1;0,72;2;<0.5;<0.02;0,77;<1;29;0,4;<0.04;0,01;<0.02;5,93;1,3;13;<5;29,1;0,26;2;0,91;<0.02;0,1;3;6;<0.01;0,04;<0.01;0,13;<0.01;2,1;4,7;<50;4,7;6,9;<0.1;<0.01;0,17;1,6;<2;0,7;1,8;0,08;<0.05;<0.05;1,7;0,1;<0.02;0,3;12;<0.1;1,8;0,2;6;22,6
LR-S-5390 GIG964;SEDIMENTO CORRENTE;540;538;92,38;7,62;<0.01;0,24;<1;<0.1;<10;21;0,3;<0.02;0,11;<0.01;14,61;2,2;5;0,28;10,1;0,35;1,4;<0.1;<0.05;<0.01;<0.02;0,02;8,1;3;0,03;65;<0.05;<0.01;<0.05;5,8;56;7,6;2,9;<0.1;<0.01;0,31;1;<1;<0.3;3,4;<0.05;<0.05;1;<0.01;0,23;6;<0.1;2,29;5;<0.5;0,1;1,35;<1;72;0,6;<0.04;0,11;0,03;11,69;2,4;20;<5;10,3;0,56;3,9;2,45;0,03;0,26;6,3;12;0,07;0,12;<0.01;0,24;<0.01;3,1;7,3;<50;8,1;20,7;<0.1;<0.01;0,34;2,9;<2;0,9;4,9;0,12;0,08;<0.05;2,7;0,13;0,09;0,8;19;<0.1;4,3;0,6;13;56,4
LR-S-5400 GIG965;SEDIMENTO CORRENTE;639;637;87,6;12,4;<0.01;0,17;1;<0.1;<10;11;0,2;<0.02;0,02;0,02;10,34;3,9;4;0,15;5,2;0,38;1;<0.1;<0.05;0,03;<0.02;0,02;5,6;1;0,01;94;0,07;<0.01;<0.05;3,8;<50;6,6;3;<0.1;<0.01;0,18;0,7;<1;<0.3;1,4;<0.05;<0.05;1;<0.01;0,08;4;<0.1;1,03;5;<0.5;0,07;0,9;<1;49;0,3;<0.04;0,02;<0.02;8,33;2,9;15;<5;7,3;0,5;2,6;1,91;<0.02;0,24;4,6;6;0,03;0,08;0,01;0,25;<0.01;2,8;5,1;<50;6,3;16,6;<0.1;<0.01;0,24;1,9;<2;0,8;3,2;0,08;<0.05;<0.05;2;0,1;0,04;0,5;13;0,3;2,7;0,4;9;33,5
LR-S-5810 GIG966;SEDIMENTO CORRENTE;658;656;86,89;13,11;0,01;0,82;19;<0.1;<10;81;1;0,14;0,13;<0.01;107,99;17,4;27;0,55;27,8;5,89;7,2;0,1;0,09;<0.01;<0.02;0,06;48,2;2;0,03;815;0,99;<0.01;0,11;18,2;349;27,9;9,9;<0.1;<0.01;1,28;3,9;<1;0,4;9,9;<0.05;<0.05;6;<0.01;1,3;57;<0.1;9,29;29;4,6;0,12;4,29;12;199;1,5;0,1;0,13;<0.02;69,59;12,7;65;<5;22,8;6,06;12,3;2,82;0,07;0,93;30,8;18;0,25;0,27;0,08;1,19;0,06;3,7;19,6;306;25,7;74;<0.1;<0.01;1,22;9,3;<2;2,1;12,6;0,28;0,52;<0.05;7,4;0,16;0,29;2,1;97;0,5;11,1;1,6;42;77,1
LR-S-5820 GIG967;SEDIMENTO CORRENTE;666;664;97,44;2,56;<0.01;0,69;8;<0.1;<10;38;0,5;0,13;0,27;<0.01;55,14;12,9;21;0,39;18,9;2,99;5;<0.1;0,08;<0.01;<0.02;0,05;22,6;4;0,19;389;0,26;<0.01;0,09;18,1;241;18,7;7,5;<0.1;<0.01;0,79;2,8;<1;<0.3;4,8;<0.05;<0.05;4,5;<0.01;0,31;28;<0.1;7,92;26;3,5;0,08;2,82;5;175;1,2;0,1;0,24;<0.02;43,13;9,6;41;<5;17;2,98;8,8;2,12;<0.02;0,72;18,5;19;0,16;0,37;0,04;0,3;0,07;3,1;16;176;18,1;57;<0.1;<0.01;0,8;6,4;<2;1,5;6,2;0,21;0,35;<0.05;6,1;0,13;0,22;1,1;57;0,4;9,9;1,3;31;54,4
LR-S-5830 GIG968;SEDIMENTO CORRENTE;715;714;98,04;1,96;0,01;0,7;1;<0.1;<10;72;0,5;0,03;1,96;0,03;97,8;8,9;8;0,41;7,1;1,34;4,4;<0.1;0,07;<0.01;0,03;0,12;39,1;4;0,18;409;0,15;<0.01;0,32;8,9;123;16,5;19;<0.1;<0.01;0,15;2,6;<1;0,6;11,1;<0.05;<0.05;7,6;0,01;0,9;14;<0.1;11,9;21;1,9;0,09;6,23;<1;661;1,3;<0.04;2,1;0,03;61,66;7;17;<5;10,1;1,9;16,7;5,17;0,04;2,04;27,1;18;0,18;0,37;0,04;0,29;2,05;7,8;8,8;104;17,8;95,7;<0.1;<0.01;0,18;6,4;<2;2;132;0,77;0,45;<0.05;11,2;0,19;0,36;2,1;31;0,1;13,6;1,4;35;118
LR-S-5840 GIG969;SEDIMENTO CORRENTE;669;667;89,06;10,94;<0.01;0,18;<1;<0.1;<10;22;0,1;<0.02;0,06;0,01;11,92;1,2;2;0,11;2,4;0,25;1,2;<0.1;<0.05;<0.01;<0.02;0,04;7;<1;0,03;24;0,06;<0.01;0,1;3;<50;6,8;5,2;<0.1;<0.01;0,12;0,7;<1;0,5;5,2;<0.05;<0.05;3,2;<0.01;0,57;4;0,4;1,48;9;1;0,6;3,99;<1;777;0,8;0,09;0,47;0,02;12,49;1,5;10;<5;5,1;0,66;10;5,21;<0.02;2,45;6,4;5;0,63;0,12;<0.01;0,29;1,92;8,5;7,2;141;9,6;71,6;<0.1;<0.01;0,05;3,5;<2;2;164;0,66;0,14;0,49;2,4;0,11;0,32;1,5;18;0,3;5,2;0,6;14;184
LR-S-5850 GIG970;SEDIMENTO CORRENTE;606;604;86,59;13,41;<0.01;0,07;<1;<0.1;<10;16;<0.1;<0.02;0,02;0,02;30;0,7;3;0,05;0,8;0,18;0,7;<0.1;<0.05;0,01;<0.02;<0.01;14,4;<1;<0.01;108;<0.05;<0.01;0,06;<0.5;<50;5,8;1,4;<0.1;<0.01;0,11;0,3;<1;<0.3;2,7;<0.05;<0.05;2,4;<0.01;0,16;2;<0.1;2,97;2;<0.5;0,24;2,15;3;299;0,3;<0.04;0,25;0,07;72,21;0,9;5;<5;29,5;0,36;4,9;1,81;<0.02;0,92;37,3;3;0,08;0,03;0,02;1,14;0,8;0,9;1,9;<50;16,2;18,4;<0.1;<0.01;0,81;1;<2;0,7;71,1;0,06;0,53;<0.05;8,9;0,04;0,03;0,8;4;<0.1;8,7;0,6;17;35,6
LR-S-5635 GIG971;SEDIMENTO CORRENTE;477;477;88,47;11,53;0,04;0,76;4;<0.1;<10;77;0,6;0,17;1,98;0,04;52,08;15,2;20;0,65;14,8;2,49;3,9;<0.1;0,09;0,02;<0.02;0,07;27,3;7;0,18;665;0,16;<0.01;0,1;17;287;16;10,3;<0.1;0,04;0,41;2;<1;0,4;49,7;<0.05;<0.05;3,5;<0.01;0,26;16;<0.1;8,5;32;1,9;0,19;3,76;3;215;1,4;0,06;1,8;0,04;50,39;13,7;48;<5;19,3;2,75;10,2;2,39;0,03;0,99;27;31;0,19;0,43;0,06;0,31;0,09;5,9;21,7;268;15,4;76,8;<0.1;0,03;0,45;7,6;<2;1,8;53,5;0,38;0,53;<0.05;7,2;0,23;0,3;1,3;59;0,5;14,2;1,5;49;66,8
LR-S-5636 GIG972;SEDIMENTO CORRENTE;595;593;71,5;28,5;0,02;0,28;3;<0.1;<10;44;0,3;0,11;0,07;0,05;29,32;5,6;11;0,33;10,7;1,26;2,6;<0.1;<0.05;0,03;<0.02;0,05;14;<1;0,01;185;0,13;<0.01;0,07;7,6;132;12,7;6,4;<0.1;<0.01;0,41;1,4;<1;<0.3;4,1;<0.05;<0.05;2;<0.01;0,24;13;<0.1;4,3;12;0,9;0,06;1,94;4;116;0,8;0,06;0,09;0,02;23,61;5,2;28;<5;21,7;1,36;5,6;1,81;0,04;0,48;11,8;6;0,11;0,13;0,02;1,63;0,03;4,9;9,5;111;13,8;35,5;<0.1;<0.01;1,14;4,4;<2;1,6;7,7;0,3;0,25;<0.05;3,9;0,18;0,13;0,9;33;0,4;7,4;0,9;24;48,9
LR-S-5637 GIG973;SEDIMENTO CORRENTE;555;554;85,02;14,98;<0.01;0,18;1;<0.1;<10;9;0,1;0,09;0,02;0,03;10,47;0,7;15;0,2;5;0,8;1,6;<0.1;<0.05;0,03;<0.02;0,03;4,7;<1;<0.01;27;0,2;<0.01;0,13;2,8;<50;9;3,4;<0.1;<0.01;0,4;1;<1;0,3;0,9;<0.05;<0.05;1,2;<0.01;0,17;19;<0.1;1,26;3;1,2;0,03;0,86;<1;34;0,3;0,07;0,02;<0.02;8,57;0,9;23;<5;8,4;0,7;2,9;1,22;<0.02;0,19;4,3;3;0,03;0,05;<0.01;0,27;<0.01;3,1;3,3;<50;6,8;14,2;<0.1;<0.01;0,42;2,2;<2;0,9;1,8;0,05;<0.05;<0.05;2,2;0,16;0,03;0,5;23;0,9;2,9;0,4;7;29,4
LR-S-5638 GIG974;SEDIMENTO CORRENTE;679;677;80,95;19,05;0,03;0,15;<1;0,1;<10;7;0,2;0,25;<0.01;0,02;4,72;0,6;2;0,32;3,5;0,13;0,7;<0.1;0,09;0,03;0,02;<0.01;2,4;<1;<0.01;12;0,18;<0.01;0,17;1,2;<50;6,3;4;<0.1;<0.01;0,14;0,9;<1;<0.3;0,5;<0.05;0,09;0,6;<0.01;0,09;3;0,2;0,58;2;<0.5;0,1;0,63;<1;25;0,3;<0.04;0,01;0,02;4,97;1;12;<5;5;0,22;1,8;0,76;<0.02;0,08;2,4;5;<0.01;0,03;<0.01;0,16;<0.01;1,6;2,9;<50;4,8;5,3;<0.1;<0.01;0,16;1,3;<2;0,6;1,5;<0.05;<0.05;<0.05;1,3;0,08;<0.02;0,3;10;<0.1;1,5;0,2;6;20,3
LR-S-5639 GIG975;SEDIMENTO CORRENTE;538;538;91,82;8,18;0,01;0,17;<1;<0.1;<10;15;0,3;0,07;0,09;<0.01;9,54;1,4;4;0,24;4,2;0,31;0,9;<0.1;0,06;0,02;<0.02;0,02;5,1;2;0,02;47;0,69;<0.01;0,26;3,6;<50;8,2;3,8;<0.1;<0.01;0,27;0,8;<1;1,5;2,3;<0.05;0,13;0,9;<0.01;0,19;5;0,2;1,75;5;<0.5;0,62;0,2;<1;55;0,7;0,06;0,02;0,02;9,39;1,7;17;<5;7,8;0,49;2,7;1,15;<0.02;0,17;5,3;10;5,17;0,1;<0.01;0,13;0,01;2,2;8,7;51;6;12,8;<0.1;<0.01;0,26;2,4;<2;1,1;4,4;0,26;0,11;0,48;1,9;0,1;0,07;0,5;16;0,2;3,1;0,4;15;39,2
BRANCO_PREP;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;<0.01;<0.01;<1;<0.1;<10;<5;<0.1;<0.02;<0.01;0,01;0,63;0,5;4;<0.05;2,9;0,54;0,2;<0.1;<0.05;0,01;<0.02;<0.01;0,4;<1;<0.01;86;0,51;<0.01;0,09;1,9;<50;3,7;0,8;<0.1;<0.01;0,19;0,2;<1;0,4;<0.5;<0.05;0,09;0,3;<0.01;<0.05;<1;0,2;0,12;<1;<0.5;0,04;0,03;<1;<5;<0.1;<0.04;0,02;<0.02;0,74;0,4;6;<5;4,7;0,54;0,2;0,03;<0.02;<0.01;0,4;7;<0.01;<0.01;<0.01;0,39;<0.01;<0.1;2,6;<50;1,7;<0.2;<0.1;<0.01;0,07;<0.5;<2;0,4;0,9;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;<0.1;<0.1;1;<0.5
LR-S-5640 GIG976;SEDIMENTO CORRENTE;717;716;85,2;14,8;0,02;0,3;3;<0.1;<10;17;0,3;0,09;0,03;0,04;15,27;5,7;6;0,29;6,2;0,88;1,7;<0.1;<0.05;0,04;<0.02;0,04;8,4;2;0,03;169;0,25;<0.01;0,26;8,9;<50;10,2;5,2;<0.1;<0.01;0,31;0,8;<1;0,3;2,1;<0.05;<0.05;1,8;<0.01;0,15;7;<0.1;1,69;8;0,6;0,09;1,7;2;86;0,7;<0.04;0,03;0,03;14,67;5,7;20;<5;14,9;1,06;5;1,68;<0.02;0,5;8;11;0,07;0,16;0,02;0,35;0,01;3,6;9,6;53;9,4;34,1;<0.1;<0.01;0,45;3,8;<2;1,2;4,1;0,11;0,11;<0.05;3,6;0,15;0,11;0,8;25;0,2;4,5;0,6;18;45,4
LR-S-5671 GIG977;SEDIMENTO CORRENTE;650;650;88;12;0,03;0,81;18;<0.1;<10;107;1;0,21;0,14;0,04;97,62;15,6;29;0,58;23,3;6,54;6,5;<0.1;0,12;0,02;0,06;0,05;40,5;2;0,04;1161;1,1;<0.01;0,16;14,8;375;30,1;8,8;<0.1;<0.01;1,53;3,1;<1;0,4;12,6;<0.05;0,15;4,9;<0.01;1,3;66;0,1;8,38;34;5,5;0,12;4,24;14;221;1,5;0,14;0,14;0,05;76,6;15;57;5;25,4;6,5;13,3;2,92;0,04;0,91;31,8;18;0,27;0,27;0,11;0,98;0,06;3,4;21,2;305;29,8;78,8;<0.1;<0.01;1,54;9,8;<2;2;14,9;0,26;0,57;<0.05;7,5;0,14;0,3;2,2;100;0,3;11,4;1,8;51;75,2
LR-S-5672 GIG978;SEDIMENTO CORRENTE;615;615;94,31;5,69;0,05;0,74;5;<0.1;<10;46;0,5;0,18;0,28;0,05;50,82;10,5;17;0,58;14,7;2,53;4,5;<0.1;0,09;0,02;<0.02;0,05;21;4;0,2;308;0,3;<0.01;0,14;14,8;192;18,8;9,2;<0.1;<0.01;0,71;2,4;1;0,4;5,8;<0.05;0,06;3,8;<0.01;0,35;24;<0.1;8,29;24;2,9;0,07;3,11;4;189;1,3;0,09;0,24;0,03;43,65;9,1;39;<5;16,5;2,51;9,3;2,34;0,04;0,79;19;22;0,17;0,39;0,03;0,3;0,08;4,6;16,3;183;16;62,5;<0.1;<0.01;0,74;7,1;<2;1,6;6,7;0,32;0,35;<0.05;6,4;0,14;0,24;1,3;55;0,3;9,9;1,3;32;58,2
