;;Method;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
;;Analyte;Umido;Seco;< 80#;> 80#;Entrada Pulv;Saida Pulv;Massa Pulv;Retido 150#;Granul.150#;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr
;;Unit;g;g;g;g;g;g;%;g;%;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5
AC-S-5687;;SEDIMENTO CORRENTE;1990;1625;260;1345;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;1,31;<1;228;0,3;<0.04;0,06;<0.02;11,77;1,1;4;<5;1,8;0,72;2,3;1,24;<0.02;1,01;5,3;5;0,08;0,03;0,01;<0.05;0,15;2,4;2,1;<50;5,8;52,4;<0.1;<0.01;0,12;1;<2;1,1;27,3;0,09;0,13;<0.05;2,2;0,1;0,19;0,4;9;0,4;4,1;0,6;5;45,4;0,06;0,17;<1;<0.1;<10;17;<0.1;<0.02;0,04;0,03;9,31;0,9;4;0,2;1,8;0,59;0,4;<0.1;<0.05;<0.01;0,03;0,05;3,9;1;0,01;99;0,19;<0.01;0,94;1,6;<50;2;3;<0.1;<0.01;0,09;0,6;<1;0,8;3,6;<0.05;<0.05;1,4;<0.01;0,11;6;<0.1;1,48;1;1,2
AC-S-5980;;SEDIMENTO CORRENTE;1370;935;75;825;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;9,76;44;285;3,9;0,53;1,08;<0.02;145,26;16,5;53;13;25,4;6,46;26,4;4,75;0,09;0,23;56,4;96;0,76;0,74;0,17;0,28;0,07;22,8;22,9;108;42,8;52,9;<0.1;<0.01;0,99;16,1;<2;4,9;42,1;1,33;1,66;0,12;24,5;0,76;0,61;2,5;166;2,5;44;5,3;20;180;0,07;4,22;35;<0.1;<10;269;2,8;0,45;1,02;0,06;139,41;15,2;36;5,58;17,6;5,12;17;0,1;0,54;<0.01;0,04;0,08;57,8;33;0,52;1750;0,14;<0.01;0,1;13,6;<50;44,4;23,7;<0.1;<0.01;0,55;8,3;<1;3,6;31,2;<0.05;0,14;20,8;<0.01;0,83;167;0,1;40,11;10;13,6
AC-S-5688;;SEDIMENTO CORRENTE;1425;965;65;885;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;9,55;46;219;4,1;0,54;0,85;<0.02;110,53;13,3;55;12;26,5;6,89;26,6;4,82;0,07;0,19;48,3;92;0,77;0,67;0,12;0,45;0,08;23;20,4;83;36,7;53,1;<0.1;<0.01;1,11;16,2;<2;4,9;37,7;1,24;1,61;0,2;25,6;0,75;0,56;2,6;182;2,8;43,5;5,3;17;179;0,07;4,51;36;<0.1;<10;214;2,7;0,45;0,85;<0.01;104,6;12,1;38;5,15;16,8;6,03;17,7;0,1;0,5;0,03;0,06;0,07;50,4;29;0,5;1296;0,18;<0.01;0,12;12,5;<50;37,2;21,9;<0.1;<0.01;0,46;8,6;<1;3;29,8;<0.05;0,21;21,6;<0.01;0,99;170;0,1;39,2;8;12,7
AC-S-5990;;SEDIMENTO CORRENTE;1650;1220;140;1060;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;6,87;12;193;2,5;0,27;10,35;<0.02;84,03;15,9;40;10;18,8;4,61;17,2;3,86;0,07;0,95;34,5;56;0,49;0,43;0,06;0,33;0,09;14,4;26,4;283;19,8;131;<0.1;0,02;0,82;12,2;<2;4;180;1,03;0,98;0,06;12,6;0,46;0,56;1,8;90;2,2;26,6;3,2;27;137;0,07;1,97;9;<0.1;<10;89;1,5;0,22;9,97;0,05;81,72;13,2;31;1,34;11,7;3,61;7,7;<0.1;0,23;<0.01;<0.02;0,16;33,9;15;0,16;557;0,15;<0.01;0,45;24,9;214;18,8;27,9;<0.1;0,01;0,34;5,2;<1;2;162;<0.05;<0.05;8,4;0,01;0,33;60;<0.1;20,03;14;5,9
AC-S-5689;;SEDIMENTO CORRENTE;1775;1320;105;1195;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;6,8;13;206;2,7;0,29;10,26;<0.02;88,56;16,4;44;10;20;4,49;17,8;3,87;0,06;0,95;35,7;56;0,52;0,45;0,06;0,22;0,07;14,3;27,7;292;21;136;<0.1;0,01;0,86;12,3;<2;4,4;178;0,7;1,07;0,05;13,1;0,45;0,6;1,9;91;2,4;27,6;3,5;29;137;0,07;2,14;13;<0.1;<10;95;1,8;0,25;9,4;0,06;86,11;14,2;61;1,59;13,6;3,7;8,6;<0.1;0,19;<0.01;<0.02;0,18;32,2;17;0,18;563;0,42;<0.01;0,41;32,2;210;19,9;31,6;<0.1;0,01;0,38;5,6;1;2;155;<0.05;<0.05;9;0,01;0,32;60;0,1;21,01;14;5,7
AC-S-6000;;SEDIMENTO CORRENTE;1535;1135;130;990;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;10,17;22;228;3;0,44;0,6;<0.02;60,06;9,2;53;16;21,6;4,49;23,6;4,81;0,12;0,7;39,5;105;0,6;0,36;0,07;0,39;0,08;21,5;24,5;165;19,2;161;<0.1;0,02;0,72;15,8;<2;5,1;53,9;1,28;1,15;0,08;19,9;0,68;0,85;2,5;103;2,7;34,4;4;25;175;0,1;3,57;15;<0.1;<10;142;2,2;0,42;0,62;<0.01;52,65;6,3;34;3,39;22,3;3,95;12,3;<0.1;0,42;0,01;0,07;0,16;36,6;27;0,13;824;0,31;<0.01;0,49;10,3;90;17;35,8;<0.1;0,01;0,54;7,2;<1;3,1;43;<0.05;<0.05;13,8;0,01;0,53;75;0,2;26,21;7;13,2
AC-S-5690;;SEDIMENTO CORRENTE;1965;1335;110;1210;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;10,25;22;229;3,4;0,46;0,58;<0.02;54,49;9,3;52;15;21,6;4,54;24,9;4,8;0,1;0,69;36,7;107;0,59;0,36;0,08;0,43;0,09;22,2;25,2;151;19;176;<0.1;0,01;0,66;16,3;<2;4,9;52,9;1,2;1,09;0,05;20;0,67;0,87;2,6;103;2,9;36,4;3,9;26;178;0,06;3,41;16;<0.1;<10;140;2,1;0,36;0,54;0,07;46,59;6;39;2,87;11,2;3,75;12,3;<0.1;0,44;<0.01;0,05;0,15;35,2;30;0,13;823;0,34;<0.01;0,38;9,9;88;15,5;34,8;<0.1;0,01;0,45;7,4;<1;2,9;37,7;<0.05;<0.05;14,1;0,01;0,56;84;0,1;24,46;9;14,6
AC-S-6010;;SEDIMENTO CORRENTE;2220;1790;240;1525;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;4,07;<1;703;0,7;0,15;0,12;<0.02;23,4;2,5;8;<5;4,9;1,72;6,6;3,27;0,03;3,04;9,3;6;0,33;0,1;0,02;0,07;0,51;7,5;4,7;52;13,6;155;<0.1;<0.01;0,08;3,4;<2;1,8;60,1;0,24;0,34;<0.05;5,9;0,23;0,48;1,6;30;0,8;15;2,1;12;125;0,04;0,4;<1;<0.1;<10;32;0,3;0,1;0,03;<0.01;24,21;2;9;0,24;4,2;1,33;1,5;<0.1;0,09;<0.01;<0.02;0,13;9,1;3;0,05;143;0,16;0,01;0,45;3,1;<50;4,8;9;<0.1;<0.01;0,19;1,1;<1;1;3,9;<0.05;<0.05;3,6;0,02;0,64;20;<0.1;4,52;7;3,5
AC-S-5691;;SEDIMENTO CORRENTE;2080;1715;185;1495;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;3,92;<1;735;0,7;0,15;0,13;<0.02;24,46;2,1;9;<5;6,6;1,89;6,6;6,05;0,02;3,32;9,9;5;0,51;0,07;0,02;0,55;0,59;7,3;4,4;51;13,4;167;<0.1;<0.01;0,05;3,4;<2;2,3;63,6;0,15;0,42;<0.05;6,8;0,25;0,48;2;31;0,6;19,9;3,2;10;228;0,14;0,4;1;<0.1;<10;41;0,1;0,12;0,02;0,03;23,66;1,7;10;0,24;5,7;1,72;1,4;<0.1;0,22;0,03;<0.02;0,16;10,1;2;0,04;141;0,48;0,02;0,65;3,5;<50;4,7;9,2;<0.1;<0.01;0,12;1;<1;1,4;4,2;<0.05;<0.05;4,4;0,03;0,75;22;<0.1;4,74;6;6,3
AC-S-6020;;SEDIMENTO CORRENTE;1275;1180;150;1005;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;10,53;11;121;2,9;0,35;1,16;<0.02;43,72;6,7;54;23;23,8;3,77;23,2;4,08;0,08;0,39;23,8;98;0,36;0,37;0,02;0,26;0,06;20,1;27,6;308;16,9;97,4;<0.1;0,05;0,51;14,5;<2;5,4;147;1,12;0,7;<0.05;17,7;0,64;0,68;2,4;78;3,2;20,5;2,5;25;148;0,1;4,17;9;<0.1;<10;78;1,8;0,27;1,13;0,02;37,15;3,2;39;5,33;14,3;2,85;13,9;<0.1;0,28;<0.01;0,1;0,12;21,4;28;0,2;112;0,16;<0.01;0,43;10,4;219;14,7;27,7;<0.1;0,05;0,24;6,4;1;3,2;132;<0.05;<0.05;10,6;<0.01;0,66;58;0,2;12,84;13;8
