;;Method;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;PREPS80P_GY;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
;;Analyte;Umido;Seco;< 80#;> 80#;Entrada Pulv;Saida Pulv;Massa Pulv;Retido 150#;Granul.150#;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr
;;Unit;g;g;g;g;g;g;%;g;%;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5
LR-S-6340;;SEDIMENTO CORRENTE;2405;1910;215;1670;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;3,04;2;193;0,7;0,14;4,7;0,03;49,97;3,8;23;<5;9,3;2,07;5,9;3,72;0,02;0,95;23,7;14;0,31;0,37;0,04;0,35;0,53;7,1;8,7;201;8,4;50,7;<0.1;0,01;0,19;3,6;<2;1,5;26,1;0,33;0,52;<0.05;7,4;0,34;0,19;1,4;23;0,5;15,3;2;23;140;0,02;0,52;1;<0.1;<10;56;0,3;0,09;4,48;0,02;33,47;3,4;6;0,33;5,7;1,4;1,8;<0.1;0,06;0,02;<0.02;0,13;14,2;3;0,19;299;0,31;<0.01;0,41;5,7;184;6,3;14,9;<0.1;<0.01;0,09;1,3;<1;1;12,8;<0.05;<0.05;2,8;0,02;0,21;10;<0.1;5,72;12;2,8
LR-S-6524;;SEDIMENTO CORRENTE;2185;1745;190;1525;N.A.;N.A.;N.A.;N.A.;N.A.;0,27;2,77;3;175;0,8;0,29;4,61;0,23;44,94;3,7;25;<5;15,4;2;5,5;3,82;0,04;0,87;21,9;11;0,34;0,33;0,04;0,58;0,55;9,5;13,4;162;10,5;44,4;<0.1;0,01;0,28;3,5;<2;2,3;25,4;0,31;0,5;<0.05;7,1;0,36;0,19;1,5;22;1,4;15,1;2;20;139;0,02;0,43;<1;<0.1;<10;48;0,3;0,09;4,25;0,02;31,9;3;6;0,28;5,3;1,35;1,5;<0.1;0,05;0,01;<0.02;0,12;13,8;2;0,17;281;0,34;<0.01;0,35;5,2;125;6,8;11,4;<0.1;<0.01;0,11;1,1;<1;1,1;12,1;<0.05;<0.05;2,5;0,02;0,22;9;<0.1;4,96;11;2,6
LR-S-6350;;SEDIMENTO CORRENTE;2005;1420;170;1235;N.A.;N.A.;N.A.;N.A.;N.A.;0,2;5,24;5;181;1,3;0,25;6,02;0,09;59,44;6,1;21;5;20,3;2,52;10,6;2,48;0,05;0,74;27,6;51;0,32;0,64;0,03;0,36;0,04;9,6;17,6;725;16,5;84,1;<0.1;0,02;0,32;7,3;<2;2,3;32;0,29;0,63;<0.05;10,2;0,36;0,38;1,2;36;2,4;18,4;2;27;99;0,09;1,98;4;<0.1;<10;104;1;0,18;5,55;0,06;49,02;5,5;16;1,38;12,7;2,4;6,9;<0.1;0,18;0,06;<0.02;0,22;21,2;15;0,47;220;0,23;<0.01;0,67;9,3;678;13,2;46,9;<0.1;0,02;0,1;4,4;<1;2,2;21,4;<0.05;<0.05;3,4;0,02;0,14;26;<0.1;13,15;17;5
LR-S-6525;;SEDIMENTO CORRENTE;1990;1505;160;1335;N.A.;N.A.;N.A.;N.A.;N.A.;0,13;4,97;6;170;1,4;0,2;5,85;0,08;52,68;5,9;22;5;17,6;3,4;9,9;2,06;0,04;0,71;24,8;45;0,26;0,62;0,03;0,57;0,03;8,8;15,2;673;15,3;80;<0.1;0,03;0,31;6,7;<2;2,1;31,6;0,38;0,58;<0.05;9,2;0,33;0,35;1;36;1,8;18,4;1,8;30;85,4;0,09;1,83;4;<0.1;<10;94;0,9;0,17;5,48;0,04;49,33;5,3;17;1,36;13,1;2,74;6,3;<0.1;0,11;0,02;0,02;0,19;21,3;12;0,44;252;0,57;<0.01;0,77;9,3;673;13,5;39,5;<0.1;0,02;0,13;4,1;<1;2;20,8;<0.05;<0.05;3,3;0,02;0,13;25;0,2;12,32;15;3,7
LR-S-6360;;SEDIMENTO CORRENTE;2000;1670;175;1475;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;3,11;9;69;0,8;0,16;6,13;<0.02;55,53;6,7;12;<5;10,4;2,33;7,5;1,55;0,03;0,34;18,3;30;0,17;0,23;0,04;0,28;0,02;5,9;11,1;88;14,4;40,5;<0.1;0,02;0,43;4,8;<2;1,6;76,8;0,28;0,44;<0.05;6,3;0,2;0,25;0,7;39;1;12,1;1,3;15;60,1;0,01;1,16;7;<0.1;<10;44;0,7;0,14;5,72;<0.01;57,78;6,2;17;1,14;6,9;2,19;5;<0.1;0,19;0,03;<0.02;0,07;17;8;0,14;385;0,17;<0.01;0,46;7,3;81;12,4;17,3;<0.1;<0.01;0,26;3,6;<1;1,3;61,7;<0.05;<0.05;4,3;0,02;0,12;33;<0.1;8,29;5;7,9
LR-S-6526;;SEDIMENTO CORRENTE;1965;1615;135;1470;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;3,74;11;82;0,8;0,21;5,36;0,02;65,49;8,5;13;<5;14;3,14;8,9;1,67;0,05;0,41;20,5;34;0,2;0,26;0,05;0,66;0,02;6,4;13,1;87;17,1;47,5;<0.1;0,02;0,49;5,6;<2;1,7;71,6;0,22;0,5;<0.05;7,4;0,24;0,31;0,8;45;1;13,6;1,4;17;66,4;0,04;1,43;8;<0.1;<10;56;0,9;0,17;5,26;0,02;78,12;8,2;20;1,32;10,6;2,71;6,2;<0.1;0,24;0,02;0,02;0,09;21,1;10;0,15;477;0,54;<0.01;0,59;8,9;78;15,9;19,7;<0.1;<0.01;0,32;4,4;<1;1,9;60,2;<0.05;<0.05;5,4;0,02;0,15;41;0,3;10,18;6;10
LR-S-6370;;SEDIMENTO CORRENTE;1885;1510;150;1340;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;2,72;3;100;1;0,17;8,76;0,04;57,31;6,6;9;<5;9,6;1,81;5,9;1,44;0,03;0,35;25,8;21;0,2;0,21;0,07;0,18;0,13;5,2;11,7;253;14,8;40,8;<0.1;0,03;0,32;3,7;<2;1,8;359;0,15;0,5;<0.05;6,7;0,2;0,24;1,3;25;0,9;13;1,4;28;58,2;0,03;1,09;3;<0.1;<10;75;0,7;0,12;8,33;0,03;49,93;6,7;8;0,8;6,3;1,36;3,4;<0.1;0,08;0,03;<0.02;0,1;20,9;5;0,12;687;0,15;<0.01;0,23;9,4;229;12,5;17;<0.1;0,02;0,18;2,2;<1;1,3;306;<0.05;<0.05;3,3;<0.01;0,49;18;<0.1;8,78;16;3,7
LR-S-6527;;SEDIMENTO CORRENTE;1980;1615;180;1420;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;3,43;3;121;1,2;0,19;8,32;0,02;67,13;7,3;11;<5;11,3;1,89;7,3;1,69;0,04;0,44;29,4;27;0,21;0,26;0,07;0,28;0,13;6;12,3;316;16,2;51,8;<0.1;0,03;0,3;4,3;<2;1,4;361;0,14;0,54;<0.05;8,1;0,24;0,29;1,5;30;1,9;14,5;1,6;35;69,1;0,03;1,28;3;<0.1;<10;86;0,9;0,14;8,19;0,04;53,57;7,4;9;0,78;7,9;1,36;3,8;<0.1;0,06;0,01;<0.02;0,11;22,2;6;0,14;716;0,26;<0.01;0,17;10,1;232;13,8;17,7;<0.1;0,02;0,16;2,5;<1;1,5;317;<0.05;<0.05;3,4;<0.01;0,48;19;0,2;9,5;19;3,5
LR-S-6380;;SEDIMENTO CORRENTE;1040;1005;205;775;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;1,34;3;69;0,4;0,06;>15;0,04;13,78;2,1;6;<5;4,5;0,68;2,6;0,39;<0.02;0,33;6,3;10;0,06;0,56;0,02;0,22;0,03;2,1;13,3;362;4,9;20,6;<0.1;0,05;0,31;1,7;<2;0,6;382;0,07;0,2;<0.05;2,3;0,07;0,11;0,5;3;0,5;4,8;0,5;16;15,7;0,01;0,36;4;<0.1;18;39;0,3;0,05;>15;0,02;9,17;2;2;0,29;2,9;0,42;1;<0.1;<0.05;0,03;<0.02;0,06;4;18;0,44;186;0,19;<0.01;0,22;14,8;334;3,6;6;<0.1;0,03;0,18;0,8;<1;0,8;285;<0.05;<0.05;0,5;<0.01;0,15;6;<0.1;3,24;17;2,4
LR-S-6528;;SEDIMENTO CORRENTE;1055;1025;180;825;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;1,45;3;77;0,5;0,06;>15;0,03;15,37;2,1;6;<5;4,8;0,77;2,6;0,27;<0.02;0,38;7;11;0,07;0,57;0,03;0,21;0,03;2;12,4;346;5;21,9;<0.1;0,04;0,3;1,7;<2;0,6;370;<0.05;0,21;<0.05;2,5;0,08;0,11;0,5;4;0,4;5,2;0,5;17;16,3;0,04;0,34;3;<0.1;<10;39;0,4;0,05;>15;0,02;9,97;2;3;0,29;2,9;0,43;1;<0.1;0,06;0,02;<0.02;0,06;4,3;10;0,42;201;0,14;<0.01;0,32;14,4;371;3,9;6,4;<0.1;0,03;0,18;0,9;<1;1,8;273;<0.05;<0.05;0,5;<0.01;0,15;6;<0.1;3,51;24;2,4
