;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MR-S-6716;GIJ904;SEDIMENTO CORRENTE;1985;1950;35;1915;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;3,36;3;699;0,6;0,07;2,51;0,06;31,68;4,6;12;<5;9,5;3,24;7,2;1,26;<0.02;1,88;15,8;9;0,16;0,34;0,05;0,46;0,67;5,4;9,5;252;13,6;73,9;<0.1;0,01;0,4;4;<2;1,5;115;0,27;0,3;<0.05;4;0,17;0,25;0,7;29;0,4;9;1;20;37,5
MR-S-6717;GIJ905;SEDIMENTO CORRENTE;1470;1420;165;1240;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;3,76;4;254;0,8;0,13;4,51;0,02;36,72;5,1;19;<5;10,3;2,29;8,5;1,95;0,03;1,06;19,2;23;0,21;0,57;0,04;0,31;0,32;6,1;12,9;313;12,2;65,6;<0.1;0,02;0,36;6,6;<2;1,6;34,9;0,29;0,4;0,07;6,2;0,2;0,29;0,9;38;0,8;12,5;1,4;22;66,1
MR-S-6718;GIJ906;SEDIMENTO CORRENTE;1240;1120;215;895;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;2,93;4;297;0,6;0,13;0,05;<0.02;28,23;6;18;<5;12,4;2,16;7,9;2,48;<0.02;1,25;13,2;13;0,22;0,19;0,04;0,83;0,15;6,6;11,9;115;12,6;80,5;<0.1;<0.01;0,34;5,7;<2;3,7;18,7;0,37;0,31;<0.05;5,5;0,17;0,3;0,9;33;0,8;10,2;1,5;36;74,6
MR-S-6719;GIJ907;SEDIMENTO CORRENTE;1945;1665;290;1355;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;2,53;2;433;0,5;0,09;0,07;<0.02;26;1,6;10;<5;6,1;1,13;6,2;2,55;<0.02;1,66;14;8;0,23;0,09;0,01;0,21;0,27;5,5;5,1;<50;13,5;92,3;<0.1;<0.01;0,22;4,4;<2;1,8;30,5;0,28;0,37;<0.05;5,2;0,15;0,31;1;19;0,5;11,8;1,5;17;73
MR-S-6721;GIJ908;SEDIMENTO CORRENTE;2280;1885;70;1810;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;2,67;1;589;0,4;0,06;2,59;0,05;32,54;3,9;7;<5;12,5;2,38;6,2;1,64;<0.02;1,55;15,8;5;0,2;0,36;0,04;1,06;0,68;9,2;7,4;158;12,1;62;<0.1;0,01;0,2;3,6;<2;3,1;133;0,44;0,36;<0.05;3,8;0,51;0,2;0,7;36;0,5;12,4;1,4;24;45,6
MR-S-6722;GIJ909;SEDIMENTO CORRENTE;1515;1320;215;1095;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;3,68;3;534;1;0,11;1,42;0,12;48,38;7,3;14;<5;12,4;1,65;10,6;2,29;0,02;1,67;23,8;15;0,27;0,32;0,05;0,43;0,52;6,8;13,1;204;16,6;103;<0.1;0,01;0,31;7,3;<2;2;71,6;0,48;0,46;<0.05;6,8;0,18;0,39;1;31;0,7;14,9;1,7;26;63,7
MR-S-6723;GIJ910;SEDIMENTO CORRENTE;1140;1040;235;800;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;3,91;3;453;1;0,12;4,01;0,09;44,77;6,3;15;<5;14,3;2,04;9,8;2,11;<0.02;1,47;24,1;16;0,26;0,64;0,06;0,72;0,44;7,1;12,4;343;14,1;84,7;<0.1;0,02;0,31;7,3;<2;2,6;70;0,53;0,49;<0.05;6,6;0,23;0,33;0,9;29;0,7;16;1,8;33;58,1
MR-S-6724;GIJ911;SEDIMENTO CORRENTE;1480;1090;220;855;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;5,11;4;835;1,1;0,09;2,89;0,08;63,46;7,6;10;<5;17,6;2,12;13,5;1,91;<0.02;2,33;34,4;16;0,28;0,49;0,08;0,38;0,62;7,1;14,4;488;17,1;114;<0.1;0,03;0,35;9,7;<2;1,9;91,4;0,52;0,55;<0.05;8,1;0,21;0,37;1;41;0,5;18,3;1,9;32;54
MR-S-6725;GIJ912;SEDIMENTO CORRENTE;1215;840;130;705;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;4,6;6;341;1,5;0,19;2,44;0,22;59,72;14,1;31;<5;28,9;2,83;12,4;2,37;<0.02;0,78;35,7;22;0,31;1,01;0,09;0,69;0,13;8;24,6;595;20,2;84,3;<0.1;0,04;0,51;12,3;<2;2,2;46,1;0,67;0,71;0,08;7,8;0,28;0,43;0,9;50;1;23,8;2,1;59;73,9
MR-S-6726;GIJ913;SEDIMENTO CORRENTE;1140;800;160;630;N.A.;N.A.;N.A.;N.A.;N.A.;0,15;3,52;1;167;1,1;0,13;0,72;0,04;41,93;7;24;<5;35,2;2,96;9,8;2,52;<0.02;0,51;20,3;14;0,2;0,5;0,03;0,52;0,11;9,6;11,9;385;14,6;84,1;<0.1;0,03;0,44;10;<2;2,2;39,3;0,56;0,44;<0.05;6,4;0,49;0,38;1,3;68;0,8;11,6;1,3;41;77,2
MR-S-6727;GIJ914;SEDIMENTO CORRENTE;1375;1200;265;905;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;1,07;1;190;0,4;0,05;0,16;0,03;15,55;2,9;9;<5;24;1,67;3;1,29;<0.02;0,36;8,3;6;0,08;0,11;0,02;0,79;0,08;5,5;5,7;123;8,8;31,7;<0.1;0,01;0,22;3,1;<2;1,3;22;0,29;0,16;<0.05;2,3;0,47;0,12;0,8;38;0,3;4,8;0,5;14;41,1
