;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;0,12;<1;13;0,2;0,05;0,03;<0.02;0,86;0,1;2;<5;0,9;0,02;0,3;0,46;<0.02;0,05;0,6;11;0,03;<0.01;<0.01;0,13;0,04;0,2;0,7;<50;3,6;10,2;<0.1;<0.01;<0.05;<0.5;<2;1,3;1,2;<0.05;<0.05;<0.05;0,4;<0.01;0,05;<0.1;<1;<0.1;0,1;<0.1;13;16,1
MR-S-6755;GIJ939;SEDIMENTO CORRENTE;985;970;165;800;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;3,8;7;89;1,3;0,25;0,86;0,18;53,44;12,7;20;6;23,9;2,92;10,4;1,96;0,03;0,22;29,6;33;0,23;0,29;0,15;1,26;0,07;8,8;16;1036;25,3;52,8;<0.1;0,07;0,97;9,4;<2;2,7;14;0,69;0,58;0,11;8,2;0,26;0,41;1;38;1,7;16,8;1,5;45;60,6
MR-S-6756;GIJ940;SEDIMENTO CORRENTE;1610;900;190;680;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;0,71;<1;56;0,5;<0.04;>15;0,08;9,87;2,1;5;<5;5,8;0,55;1,7;0,31;<0.02;0,1;5,8;6;0,06;0,61;0,02;0,2;0,01;1,5;13,4;455;4,5;11,1;<0.1;0,02;0,08;1,6;<2;1,7;25,5;0,08;0,12;<0.05;1,3;0,03;0,07;0,2;8;0,2;4,6;0,4;24;9,8
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MR-S-6756;GIJ940;REP;--;--;--;--;--;--;--;--;--;0,04;0,72;<1;57;0,4;<0.04;>15;0,09;9,71;2,1;6;<5;5,6;0,51;1,8;0,31;<0.02;0,1;5,7;7;0,06;0,61;0,02;0,18;0,01;1,7;14,1;426;4,7;11,2;<0.1;0,02;0,09;1,5;<2;1,5;26;0,11;0,12;<0.05;1,3;0,03;0,07;0,2;9;0,3;4,6;0,4;20;9,9
MR-S-6755;GIJ939;REP;--;--;--;--;--;--;--;--;--;0,1;3,61;7;83;1,7;0,24;0,81;0,17;53,12;13;21;6;25,3;2,76;11;1,82;0,02;0,24;30,2;34;0,22;0,27;0,14;1,45;0,06;8,7;16,8;995;26,6;52,4;<0.1;0,07;0,95;9,6;<2;2,7;13,1;0,57;0,57;0,13;8,1;0,24;0,42;1,1;38;1,5;17,1;1,5;40;63
BRANCO_PREP;;REP;--;--;--;--;--;--;--;--;--;0,03;0,12;<1;11;0,2;<0.04;0,02;<0.02;0,9;0,1;3;<5;0,7;0,03;0,3;0,48;<0.02;0,04;0,5;11;0,01;<0.01;<0.01;0,16;0,04;0,3;0,6;<50;3,2;7,3;<0.1;<0.01;<0.05;<0.5;<2;1,5;0,9;<0.05;<0.05;<0.05;<0.2;<0.01;0,03;0,1;<1;0,1;0,2;<0.1;12;15,4
Reference Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STD_061;;STD;--;--;--;--;--;--;--;--;--;>10;7,15;530;1185;0,8;5,81;4,58;4,24;25,01;32,9;336;<5;3067;4,06;17,2;1,13;0,18;2,4;13,6;19;0,15;1,34;0,1;167,69;2,27;5,1;48,1;823;966;100;<0.1;1,05;98;14,3;3;4,4;405;0,43;0,35;0,74;4,5;0,22;0,98;1,8;112;6;9,6;0,9;1072;31,9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
