;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
MR-S-6707;GIJ896;REP;--;--;--;--;--;--;--;--;--;0,15;5,06;6;304;1,9;0,26;1,9;0,21;72,81;13,1;35;6;33,8;3,63;14,1;3,08;0,03;0,7;40,9;38;0,35;0,71;0,2;0,54;0,1;12,1;27,1;708;20,9;118;<0.1;0,04;0,64;13,4;<2;2,6;38,1;0,84;0,78;0,09;11,8;0,33;0,57;1,4;64;1,3;22,2;2,3;62;104
BRANCO_PREP;;REP;--;--;--;--;--;--;--;--;--;<0.02;0,11;<1;11;0,3;<0.04;0,01;<0.02;0,45;0,1;2;<5;2;0,02;0,3;<0.02;<0.02;0,04;0,4;10;<0.01;<0.01;<0.01;0,11;0,04;0,2;<0.5;<50;3,5;5,2;<0.1;<0.01;0,05;<0.5;<2;0,8;1;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;0,1;<0.1;4;14,8
Reference Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STD_061;;STD;--;--;--;--;--;--;--;--;--;>10;5,79;501;1190;0,9;4,21;3,73;3,83;19,42;26,1;257;<5;2429;3,17;13,5;1,33;0,23;2;10,3;15;0,1;1,14;0,1;134,64;2,18;3,9;39,6;623;769;86,6;<0.1;0,83;80,36;13,7;2;2,8;331;0,22;0,26;0,66;3,7;0,17;0,71;1,4;86;4,8;8,1;0,8;883;44,1
TILL-3;;STD;--;--;--;--;--;--;--;--;--;1,17;5,98;80;440;1,3;0,28;1,67;0,09;32,07;12,8;86;<5;19,5;2,64;13,5;5,97;<0.02;1,89;16;25;0,16;0,97;0,05;1,75;1,94;6,3;41,2;431;24,1;70,3;<0.1;0,02;0,82;11,2;<2;2,2;295;0,52;0,36;<0.05;4,5;0,26;0,28;2,5;61;0,8;12,2;1,1;43;107
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
