;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
MR-S-6668;GIJ861;SEDIMENTO CORRENTE;2220;1705;75;1605;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;4,01;6;148;1,7;0,2;11,79;0,05;58,86;7,7;28;5;15,2;2,42;10;2,17;<0.02;0,88;31,8;33;0,33;0,68;0,03;0,64;0,07;9,3;22,7;518;14,8;109;<0.1;0,04;0,51;9,6;<2;2,7;26,1;0,71;0,82;<0.05;9,1;0,23;0,4;1,2;43;1,1;30,1;2,2;88;69,3
MR-S-6669;GIJ862;SEDIMENTO CORRENTE;1585;990;120;845;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;5,14;6;142;1,8;0,23;4,11;0,04;77,98;8,1;27;7;23,6;2,74;12,6;2,63;0,04;0,52;45;41;0,39;0,59;0,04;0,51;0,08;12,4;17,4;669;18,9;97,5;<0.1;0,04;0,56;11,8;<2;2,7;22;0,97;0,95;<0.05;11,7;0,37;0,45;1,6;48;1,8;35,7;2,7;144;88,3
MR-S-6671;GIJ863;SEDIMENTO CORRENTE;2370;2330;205;2110;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;2,12;6;64;0,8;0,11;0,5;0,03;21,99;4,6;17;<5;8,3;1,72;5,5;1,03;<0.02;0,18;10,6;21;0,11;0,27;0,04;0,54;0,02;3,7;9,1;255;10,1;32,4;<0.1;0,02;0,27;3,8;<2;1,8;8,3;0,22;0,25;0,07;3,8;0,13;0,17;0,6;26;0,6;8;0,8;157;32,3
MR-S-6672;GIJ864;SEDIMENTO CORRENTE;2915;2380;145;2220;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;2,36;5;125;1;0,12;2,19;<0.02;36,14;6,4;19;<5;9,5;2,14;6,2;1,29;<0.02;0,66;16,4;21;0,13;0,31;0,04;0,2;0,02;5,7;11,2;203;12,1;69,3;<0.1;0,01;0,46;4;<2;1,8;13;0,37;0,31;0,06;5,5;0,16;0,26;0,8;32;0,7;10,4;1;35;42,3
MR-S-6673;GIJ865;SEDIMENTO CORRENTE;1680;1580;165;1410;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;6,96;16;183;4,1;0,28;1,86;0,04;56,54;17,6;39;9;41,5;3,45;18,1;2,95;0,06;1,03;33,5;75;0,47;0,64;0,05;0,69;0,08;9,7;33,3;609;19,7;125;<0.1;0,03;0,84;17,1;<2;3,3;17,3;0,77;1,14;0,08;10;0,3;0,63;2,2;78;1,8;38,5;3,4;41;96,8
MR-S-6674;GIJ866;SEDIMENTO CORRENTE;1835;1805;245;1530;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;5,98;15;76;1,9;0,24;0,14;<0.02;56,11;11,3;35;7;16;3,52;15,9;2,83;0,09;0,23;25,1;68;0,29;0,28;0,04;0,63;0,12;11,1;19,7;239;22,3;46,1;<0.1;0,01;1,2;13,3;<2;2,9;9,1;0,77;0,69;<0.05;9,7;0,37;0,44;1,9;83;2,1;21;2;41;102
MR-S-6675;GIJ867;SEDIMENTO CORRENTE;2050;1955;205;1725;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;5,79;10;92;2,8;0,23;1,14;<0.02;65,2;10,4;31;6;21,4;3,14;15;2,61;0,05;0,33;36,1;58;0,34;0,59;0,02;0,38;0,1;10,7;20,4;191;22;61,7;<0.1;0,02;0,69;14,2;<2;2,8;11;0,7;0,84;0,14;10,8;0,33;0,42;1,5;64;1,6;27,8;2,4;47;97,5
MR-S-6676;GIJ868;SEDIMENTO CORRENTE;2195;2110;100;1995;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;4,12;13;141;1,6;0,31;0,13;<0.02;99,79;12,2;26;6;18,7;2,88;12,4;3,24;0,05;0,6;45,4;30;0,34;0,22;0,05;0,47;0,08;14,8;16,2;224;21,4;102;<0.1;<0.01;1,21;11,8;<2;2,7;13,5;0,93;0,85;0,12;14,2;0,4;0,48;2,2;65;2,1;24,4;2,3;40;109
MR-S-6677;GIJ869;SEDIMENTO CORRENTE;1965;1930;285;1635;N.A.;N.A.;N.A.;N.A.;N.A.;0,16;9,08;22;87;1,3;0,38;0,06;<0.02;88,29;9,8;45;14;28,3;4,67;25;4,68;0,08;0,34;32,3;71;0,35;0,2;0,02;1,14;0,19;19,2;28,7;193;29,1;93,2;<0.1;0,01;1,52;23;<2;3,9;10,5;1,42;0,8;0,13;16;0,54;0,75;2,9;136;2,9;20,7;2,4;22;168
MR-S-6678;GIJ870;SEDIMENTO CORRENTE;1900;1870;200;1650;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;2,94;9;94;1,2;0,22;0,33;<0.02;73,32;5,9;20;<5;20,8;2,51;8,4;2,59;<0.02;0,3;35,7;29;0,27;0,2;0,02;0,57;0,06;14;10;179;19,3;83,7;<0.1;0,02;0,85;9,3;<2;2,3;12,7;0,84;0,7;0,06;12,2;0,42;0,27;1,6;48;2,1;20;2;17;92,9
