SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Serviço Geológico do Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;20/5/2010 10:12:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ1003271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;Bambui Oeste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 3746-Go;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;19/5/2010 10:12:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Method;SCR33;SCR33;SCR33;SCR33;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;Analyte;Peso;Soma Peso;230#;<230#;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;Unit;g;g;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;MDL;0;0;0,01;0,01;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;<0.01;<0.01;1;<0.1;<10;<5;<0.1;<0.02;<0.01;<0.01;<0.05;<0.1;<1;<0.05;0,8;0,01;<0.1;<0.1;<0.05;0,04;<0.02;<0.01;<0.1;<1;<0.01;<5;<0.05;<0.01;<0.05;0,6;<50;1,6;0,7;<0.1;<0.01;<0.05;<0.1;<1;0,4;<0.5;<0.05;<0.05;<0.1;<0.01;<0.05;<1;<0.1;<0.05;<1;<0.5;<0.02;0,02;<1;6;<0.1;<0.04;0,02;0,03;<0.05;<0.1;<1;<5;2,8;0,02;<0.1;<0.02;<0.02;<0.01;<0.1;4;<0.01;<0.01;<0.01;<0.05;<0.01;<0.1;2,1;<50;1,9;<0.2;<0.1;<0.01;<0.05;<0.5;<2;<0.3;<0.5;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;<0.1;<0.1;5;<0.5
AC-S-5130 GIG936;SEDIMENTO CORRENTE;540;540;93,89;6,11;0,03;0,76;5;<0.1;<10;66;0,8;0,27;0,19;0,02;66,31;4;25;0,59;22,8;2,99;5,7;<0.1;0,05;<0.01;<0.02;0,08;31,6;5;0,05;185;0,28;<0.01;0,15;8,4;373;18,7;11,6;<0.1;0,02;0,41;4,2;<1;0,9;11,2;<0.05;<0.05;5,8;<0.01;1,04;38;0,3;7,67;25;1,1;0,16;7,29;6;361;2,5;0,06;0,2;0,03;56,22;5,8;73;7;33,6;3,92;20,1;5,14;0,07;1,85;27,2;38;0,37;0,47;0,02;0,41;0,13;15,8;22,9;361;21,5;135;<0.1;0,01;1;17,6;<2;3,3;19,2;3,4;0,67;<0.05;14,6;0,48;0,56;3,5;115;1,5;19,1;2,5;43;142
AC-S-5140 GIG937;SEDIMENTO CORRENTE;640;636;97,8;2,2;0,06;0,69;12;<0.1;<10;194;1,5;0,45;0,13;0,04;149,05;38,2;37;0,49;54,3;5,7;8,4;<0.1;0,24;<0.01;<0.02;0,07;49;4;0,12;1457;0,6;<0.01;0,39;46,3;210;44;7;<0.1;<0.01;0,87;3,1;<1;0,8;10,4;<0.05;<0.05;10,5;<0.01;0,95;38;0,2;13,01;82;11,4;0,19;7,63;12;589;4,3;0,26;0,14;0,09;113,9;35,6;96;9;54,3;6,98;25,9;5,31;0,06;2,56;35,8;28;0,47;0,74;0,15;0,37;0,13;18,1;52,6;244;43,1;149;<0.1;<0.01;1,74;18,4;<2;3,8;16,6;2,26;0,92;<0.05;14,5;0,37;0,74;3,4;137;0,8;23,2;3;100;148
AC-S-5150 GIG938;SEDIMENTO CORRENTE;604;603;96,85;3,15;0,04;0,77;10;<0.1;<10;91;0,4;0,3;0,1;<0.01;87,36;21,1;30;0,43;27,8;4,88;4,8;<0.1;0,1;<0.01;<0.02;0,07;37,4;5;0,08;875;0,36;<0.01;0,1;20,6;311;30,5;7,8;<0.1;<0.01;0,45;3,1;<1;0,7;8,6;<0.05;<0.05;7,5;<0.01;0,78;47;0,3;7,47;48;3,6;0,93;6,37;11;309;2,7;0,05;0,11;0,02;73,82;23,2;78;6;36,6;6,01;17,5;4,47;0,05;1,75;31,1;29;0,34;0,5;0,09;0,33;0,11;8,1;33,2;383;33;114;<0.1;<0.01;1,28;14,1;<2;2,5;14,2;1,21;0,64;<0.05;11,6;0,32;0,45;2,6;120;0,6;17,2;2,2;71;140
AC-S-5160 GIG939;SEDIMENTO CORRENTE;697;696;98,56;1,44;0,06;1,18;10;<0.1;<10;64;0,7;0,39;0,55;0,08;96,77;34,2;35;0,5;31,6;4,64;6,3;<0.1;0,11;0,02;<0.02;0,13;45,6;10;0,34;1048;0,52;<0.01;0,35;34,9;441;36,5;10,3;<0.1;<0.01;0,51;3,1;<1;0,7;29,9;<0.05;<0.05;8,9;<0.01;0,55;34;0,7;8,5;73;3,8;0,38;7,78;10;355;2,7;<0.04;0,56;0,08;78,66;29,6;89;8;34,9;5,73;21,6;4,53;0,05;2,66;36,1;42;0,33;0,93;0,1;0,32;0,28;14,6;46,8;404;36,1;161;<0.1;<0.01;1,28;16,7;<2;3,3;37,5;1,34;0,69;<0.05;13,1;0,25;0,62;2,5;130;<0.1;17,5;2,4;95;136
AC-S-5170 GIG940;SEDIMENTO CORRENTE;500;499;95,99;4,01;0,07;1,04;7;<0.1;<10;67;0,6;0,33;4,96;0,04;69,61;30,8;37;0,5;22,2;3,93;6,3;<0.1;0,17;0,05;<0.02;0,12;33,4;10;0,19;684;0,28;<0.01;0,33;28,4;345;30,1;14,1;<0.1;0,02;0,44;3,7;1;0,8;93,5;<0.05;<0.05;6,6;<0.01;0,45;37;<0.1;9,45;40;3,7;0,28;6,99;6;354;2,3;<0.04;4,92;0,1;60,86;26,3;83;7;26,4;4,82;18,8;4,29;0,06;2,14;28,5;49;0,33;0,75;0,07;0,28;0,2;8,4;37,8;299;30,1;146;<0.1;0,02;0,84;15,1;<2;3,3;101;1,05;0,63;<0.05;11,3;0,24;0,58;1,9;113;0,9;17,6;2,2;70;119
