original;novo
Sed.Corrente;Sedimento de corrente
SEDIMENTO CORRENTE;Sedimento de corrente
ROCHA;Rocha
SOLO;Solo
FOSFATO;Rocha
ÁGUA;Água
DUP;DUP
REP;REP
STD;STD
BLK;BLK
Prep Blank;BRANCO_PREP
QUARTZ_GO;QUARTZ_GO
Prep Wash;Prep Wash
BRANCO_PREP;BRANCO_PREP
