SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;13/10/2014 14:24:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GY1400885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;4.068.087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;3767/SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;10/10/2014 14:24:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;;Analyte;Peso_inicial;Soma;+80#;+80#_P;-80#;-80#_P;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;g;g;g;%;g;%;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;1;1;0,01;1;0,01;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;SOLO;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;0,07;<1;<5;<0.1;<0.04;<0.01;<0.02;<0.05;0,2;2;<5;<0.5;0,62;<0.1;<0.1;<0.02;<0.02;<0.01;<0.1;<1;0,01;<0.01;<0.01;0,75;<0.01;<0.1;1,7;<50;<0.5;<0.2;<0.01;<0.05;<0.5;<2;<0.3;1,8;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;<0.1;<0.1;<1;<0.5
HHE-650;;SOLO;1560;1560;1260;80,77;300;19,23;<0.02;5,04;121;321;2,3;0,26;0,85;0,54;72,06;9,7;27;8;17,2;3,14;15;0,2;<0.02;0,05;1,39;37,7;28;0,36;0,83;0,13;0,78;0,05;9,4;18;1281;23,6;118,8;0,05;0,73;8,8;<2;2,4;32,6;0,96;0,82;0,1;13,4;0,31;0,91;2,6;49;0,8;25,4;2,2;99;81,2
HHE-651;;SOLO;1700;1700;1430;84,12;270;15,88;<0.02;5,46;86;324;2,4;0,28;1,26;0,52;82,27;10,6;28;8;17,6;3,38;16,2;<0.1;<0.02;0,05;1,54;41,7;29;0,39;1,22;0,13;0,43;0,05;11,6;18,2;1677;24,6;129;0,05;0,71;9,9;<2;2,2;33,1;1,41;0,9;0,1;15,4;0,34;0,96;2,5;47;0,9;28,6;2,5;123;90,5
HHE-652;;SOLO;2125;2125;1785;84;340;16;<0.02;6,94;25;1149;2,2;0,1;1,58;0,21;146,88;16,8;23;<5;37,4;7,03;23,6;0,2;<0.02;0,08;2,41;73,2;41;0,53;0,92;0,16;0,41;1,32;13,9;21,3;2036;20;93,2;0,03;0,39;21,8;<2;2;226,6;2,48;1,52;0,08;13,2;0,77;0,44;2,1;98;1,3;40,9;3,4;147;87,3
HHE-653;;SOLO;2195;2195;1815;82,69;380;17,31;<0.02;8,2;36;1163;2,4;0,09;1,73;0,11;158,29;19,6;17;7;42;6,95;26,2;0,4;<0.02;0,08;2,34;80,9;54;0,54;1,5;0,16;0,33;1,42;11;27,1;1207;16,5;87;0,02;0,36;22,5;2;2;249,4;3,39;1,65;0,1;10,5;0,74;0,47;1,5;104;0,9;44,9;3,5;132;70,6
HHE-654;;SOLO;2305;2305;1935;83,95;370;16,05;<0.02;8,91;48;1225;2,3;0,07;1,87;0,09;170,86;19,6;15;7;42,2;7,19;27,1;0,3;<0.02;0,08;2,41;86,8;55;0,57;1,52;0,16;0,37;1,52;10,2;26,2;1292;16,7;88;0,02;0,37;23,5;2;2,1;274,5;3,13;1,7;0,1;10,3;0,77;0,48;1,5;105;0,9;46,6;3,6;140;70,4
