SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Cia de Pesquisa de Recursos Minerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;20/09/2011 15:26:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GY1101244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;C.C.4068-087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 1620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;16/09/2011 15:26:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;;Analyte;Umido;Seco;Cont massa B;Passante;Retido;Granul 2mm;Entrada Pu;Saida Pu;Controle Massa Pu;Retido 150;Granulometria_150;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;g;g;%;g;g;%;g;g;%;g;%;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;SOLO;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;0,03;<1;<5;<0.1;0,05;<0.01;<0.02;0,47;0,5;6;<5;6;0,71;0,3;0,03;<0.02;0,1;0,2;<1;<0.01;<0.01;<0.01;<0.05;0,02;0,2;0,6;<50;0,5;2,4;<0.1;<0.01;0,12;<0.5;<2;<0.3;2,3;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;0,1;<0.1;<0.1;2;<0.5
VC-L-320;ICC0859;SOLO;2320;2010;98,01;1680;290;14,72;310;300;96,77;1;0,33;0,04;8,33;10;201;1,3;0,39;0,03;<0.02;55,63;5;62;7;19,7;5,7;18,6;2,95;0,06;2,03;39,7;43;0,42;0,42;0,01;<0.05;0,02;0,6;16,5;170;15,5;126,4;<0.1;<0.01;0,23;9,6;<2;3,7;11,1;<0.05;0,72;<0.05;10,7;0,29;0,56;2,3;91;0,3;19,7;2,7;35;94,2
VC-L-320-A;ICC0860;SOLO;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;7,68;10;189;1,3;0,44;0,04;<0.02;53,36;4,7;57;6;17,4;5,24;17,5;3,03;0,07;1,87;37,9;40;0,38;0,39;0,01;<0.05;0,02;0,9;16,3;189;14,2;122,6;<0.1;<0.01;0,45;9,3;<2;0,7;10,6;<0.05;0,68;<0.05;10,5;0,23;0,56;2,2;81;0,2;18,2;2,6;37;88,9
VC-L-321;ICC0861;SOLO;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,02;6,74;9;234;1,5;0,48;0,06;<0.02;89,3;8,4;41;6;19;4,63;16,1;3,33;0,06;1,84;41,8;38;0,48;0,41;0,03;<0.05;0,03;2;17,3;277;17;121,5;<0.1;<0.01;0,59;9,8;<2;0,8;15,7;0,17;0,84;<0.05;11,5;0,29;0,52;2,4;72;0,3;22,2;3;36;102,3
VC-L-322;ICC0862;SOLO;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;7,98;12;204;1,5;0,52;0,07;<0.02;125,49;7,7;53;9;21,6;4,7;20,2;4,61;0,08;1,33;39,8;57;0,5;0,31;0,02;0,45;0,05;8,8;18,5;215;18;134,6;<0.1;<0.01;0,75;12,7;<2;1,9;18,5;0,74;0,93;<0.05;14,8;0,5;0,64;3;107;1;22,7;3,3;30;141,6
VC-L-323;ICC0863;SOLO;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;9,5;17;211;1,2;0,66;0,18;<0.02;134,19;9,4;53;11;23,7;5,22;24,9;5,71;0,09;1,3;42,1;75;0,51;0,31;0,03;1,25;0,12;18,7;22;316;20,3;136;<0.1;0,01;1,18;16;<2;2,9;28,3;2,67;0,97;<0.05;17,9;0,67;0,69;3,3;136;3,9;22,8;3,3;37;178,4
