SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Cia de Pesquisa de Recursos Minerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;12/7/2010 10:15:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ1004367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;C.C. 4068-500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote: 1551 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;8/7/2010 10:15:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Method;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;Analyte;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;Unit;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;MDL;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;SOLO;0,08;0,03;<1;18;0,3;<0.04;<0.01;0,02;0,31;0,3;2;<5;3,5;0,51;0,1;<0.02;<0.02;<0.01;0,3;11;<0.01;<0.01;<0.01;0,41;<0.01;<0.1;4;<50;2,7;<0.2;<0.1;<0.01;0,1;<0.5;<2;0,6;0,5;<0.05;<0.05;0,06;<0.2;<0.01;<0.02;<0.1;<1;<0.1;<0.1;<0.1;2;<0.5
LL-L-311 IBX-747;SOLO;0,16;8,45;16;62;1,1;0,4;0,07;0,08;63,18;10,9;42;6;18,2;4,25;16,5;3,29;0,12;0,07;30,5;37;0,38;0,14;0,03;0,94;0,03;12,7;36,6;289;23,6;10,8;<0.1;<0.01;1,29;8,4;<2;3,8;15;0,71;0,81;0,17;12,8;0,42;0,44;1,9;91;2;20,7;2,4;32;94,2
LL-L-312 IBX-748;SOLO;0,14;7,92;14;53;0,5;0,43;0,05;0,04;62,92;8,7;49;6;17,2;3,93;16,9;3,23;0,1;0,06;30,6;34;0,39;0,11;0,03;1,08;0,03;11,9;29;240;24;10,3;<0.1;0,01;1,06;8,6;<2;3,6;13,4;0,31;0,8;0,15;13,3;0,41;0,38;2;89;1,4;19,5;2,4;30;92,1
LL-L-313 IBX-749;SOLO;0,21;8,01;17;63;0,7;0,39;0,05;<0.02;68,35;11,4;45;7;20,3;4,23;18;3,06;0,07;0,06;33,8;36;0,39;0,14;0,03;0,89;0,02;11,8;46,4;297;24,3;11,8;<0.1;<0.01;1,04;9,1;<2;3,4;13,4;0,39;0,88;0,23;13,8;0,41;0,38;2;91;1,1;21,5;2,6;31;87,4
LL-L-314 IBX-750;SOLO;0,26;8,27;16;66;0,7;0,44;0,06;0,06;65,58;9,7;32;7;18,8;3,86;17,6;3,21;0,12;0,07;32,3;37;0,36;0,12;0,03;0,73;0,02;9,4;20;351;24,1;11,6;<0.1;<0.01;0,9;9;<2;3,7;12,8;0,28;0,83;0,19;13,9;0,4;0,4;2;86;0,6;20,6;2,5;30;86,6
LL-L-315 IBX-751;SOLO;0,12;7,56;15;57;0,6;0,45;0,05;<0.02;61,88;8,7;34;7;16,7;3,69;16,6;3,19;0,06;0,07;30,4;35;0,36;0,13;0,03;1,12;0,04;13,6;23,6;226;23,3;10,5;<0.1;<0.01;1,29;8,5;<2;3,6;11;0,68;0,78;0,12;13,2;0,42;0,41;1,8;83;1,6;18,2;2,4;28;86,7
